id,name,email,branch,graduation_year,cgpa,backlogs,has_prior_offer,academic_score,readiness_score
98,Neha Nori,neha.nori98@example.com,CIVIL,2026,8.33,0,False,83.3,77.65
99,Ikbal Kothari,ikbal.kothari99@example.com,CSE,2025,6.6,0,False,66.0,64.0
100,Rehaan Gupta,rehaan.gupta100@example.com,CIVIL,2027,6.48,1,False,60.8,75.15
101,Saumya Dey,saumya.dey101@example.com,CSE,2026,8.01,2,False,72.1,82.55
102,Pahal Goswami,pahal.goswami102@example.com,MECH,2027,7.59,0,False,75.9,75.95
103,Arya Shere,arya.shere103@example.com,CIVIL,2027,8.9,0,False,89.0,65.5
104,Zaid Borra,zaid.borra104@example.com,IT,2027,9.58,0,False,95.8,78.65
105,Saanvi Chaudhari,saanvi.chaudhari105@example.com,CIVIL,2026,7.53,1,False,71.3,66.65
106,Chandresh Zachariah,chandresh.zachariah106@example.com,ECE,2026,7.85,0,True,78.5,78.75
107,Alexander Chander,alexander.chander107@example.com,ECE,2027,6.79,0,True,67.9,61.7
108,Warjas Ganesan,warjas.ganesan108@example.com,IT,2027,6.18,0,False,61.8,62.23
109,Niharika Sunder,niharika.sunder109@example.com,EEE,2026,7.37,0,True,73.7,68.65
110,Vasana Kala,vasana.kala110@example.com,MECH,2027,9.25,0,True,92.5,79.45
111,Nandini Bhargava,nandini.bhargava111@example.com,EEE,2025,9.46,0,False,94.6,80.05
112,Nitesh Raghavan,nitesh.raghavan112@example.com,EEE,2027,6.84,0,False,68.4,70.2
113,Aarnav Ramakrishnan,aarnav.ramakrishnan113@example.com,IT,2026,7.96,0,False,79.6,82.8
114,Alka Sha,alka.sha114@example.com,ECE,2027,7.46,0,False,74.6,62.7
115,Bhavika Sampath,bhavika.sampath115@example.com,EEE,2025,7.32,0,False,73.2,61.6
116,Vidhi Dubey,vidhi.dubey116@example.com,MECH,2027,7.9,2,False,71.0,73.83
117,Ranveer Minhas,ranveer.minhas117@example.com,EEE,2025,5.88,0,True,58.8,63.9
118,Teerth Bhardwaj,teerth.bhardwaj118@example.com,ECE,2026,7.21,0,False,72.1,59.05
119,Darsh Murthy,darsh.murthy119@example.com,EEE,2026,7.21,1,False,68.1,62.85
120,Dakshesh Bedi,dakshesh.bedi120@example.com,CSE,2026,7.62,1,False,72.2,68.85
121,Vansha Thakkar,vansha.thakkar121@example.com,CSE,2025,5.81,2,False,50.1,55.18
122,Nakul Bhandari,nakul.bhandari122@example.com,IT,2025,6.4,0,False,64.0,59.75
123,Yashoda Buch,yashoda.buch123@example.com,IT,2026,8.51,0,False,85.1,71.55
124,Quincy Biswas,quincy.biswas124@example.com,MECH,2027,8.95,0,False,89.5,66.55
125,Ekansh Keer,ekansh.keer125@example.com,ECE,2025,9.0,0,False,90.0,76.0
126,Netra Dar,netra.dar126@example.com,EEE,2026,9.68,0,False,96.8,86.4
127,Yatin Baral,yatin.baral127@example.com,CIVIL,2025,6.39,0,True,63.9,52.12
128,Finn Saini,finn.saini128@example.com,MECH,2025,8.98,1,False,85.8,78.02
129,Diya Lal,diya.lal129@example.com,MECH,2026,8.05,0,False,80.5,68.92
130,Samarth Murthy,samarth.murthy130@example.com,CSE,2026,5.81,0,False,58.1,53.88
131,William Lanka,william.lanka131@example.com,CIVIL,2026,5.97,3,False,47.7,47.85
132,Meghana Deep,meghana.deep132@example.com,CIVIL,2026,7.46,1,False,70.6,65.13
133,Charita Shankar,charita.shankar133@example.com,EEE,2026,9.64,1,False,92.4,74.2
134,Diya Bora,diya.bora134@example.com,IT,2025,8.17,0,False,81.7,66.85
135,Aditya Shanker,aditya.shanker135@example.com,MECH,2027,7.53,1,False,71.3,57.65
136,Harish Borah,harish.borah136@example.com,ECE,2025,7.01,0,False,70.1,65.05
137,Tanay Toor,tanay.toor137@example.com,ECE,2027,7.1,0,False,71.0,63.83
138,Alka Deo,alka.deo138@example.com,IT,2025,6.74,0,False,67.4,57.95
139,Ikshita Biswas,ikshita.biswas139@example.com,IT,2027,7.33,0,False,73.3,62.15
140,Yash Pingle,yash.pingle140@example.com,CSE,2025,8.7,0,False,87.0,80.67
141,Bhavani Dugar,bhavani.dugar141@example.com,CIVIL,2027,7.32,0,False,73.2,62.93
142,Raksha Mittal,raksha.mittal142@example.com,CIVIL,2027,7.99,0,False,79.9,82.95
143,Abhiram Mistry,abhiram.mistry143@example.com,ECE,2025,8.66,0,False,86.6,68.42
144,Hemang Desai,hemang.desai144@example.com,MECH,2027,6.37,0,False,63.7,59.85
145,Aishani D’Alia,aishani.d’alia145@example.com,CIVIL,2027,6.47,0,False,64.7,57.18
146,Hredhaan Dugal,hredhaan.dugal146@example.com,CSE,2025,7.86,0,False,78.6,80.55
147,Anita Manda,anita.manda147@example.com,CIVIL,2027,7.12,0,False,71.2,76.4
148,Shivansh Oza,shivansh.oza148@example.com,ECE,2027,5.7,0,False,57.0,53.62
149,Samar Lalla,samar.lalla149@example.com,CSE,2025,8.37,1,False,79.7,63.22
150,Yashasvi Suresh,yashasvi.suresh150@example.com,IT,2025,7.61,0,False,76.1,68.42
151,Zayan Behl,zayan.behl151@example.com,CSE,2026,9.38,0,False,93.8,92.9
152,George Sampath,george.sampath152@example.com,IT,2025,8.1,0,False,81.0,83.5
153,Aradhana Basu,aradhana.basu153@example.com,IT,2025,9.77,0,False,97.7,79.85
154,Aarush Nath,aarush.nath154@example.com,MECH,2025,7.37,0,False,73.7,78.85
155,Kalpit Lala,kalpit.lala155@example.com,ECE,2027,7.21,2,False,64.1,59.05
156,Neel Sathe,neel.sathe156@example.com,MECH,2027,6.87,0,True,68.7,67.1
157,Prisha Andra,prisha.andra157@example.com,ECE,2027,8.93,0,True,89.3,74.77
158,Isaac Borra,isaac.borra158@example.com,IT,2025,6.58,0,False,65.8,56.9
159,Manthan Banik,manthan.banik159@example.com,CSE,2025,8.6,0,False,86.0,69.0
160,Kala Divan,kala.divan160@example.com,CSE,2027,6.77,1,False,63.7,59.85
161,Qushi Datta,qushi.datta161@example.com,MECH,2027,6.69,1,False,62.9,63.32
162,Benjamin Morar,benjamin.morar162@example.com,IT,2027,6.39,0,False,63.9,65.62
163,Janya Baral,janya.baral163@example.com,CSE,2025,6.7,0,False,67.0,60.5
164,Ishita Kade,ishita.kade164@example.com,ECE,2026,8.18,1,False,77.8,74.23
165,Zaid Chauhan,zaid.chauhan165@example.com,ECE,2027,8.6,0,False,86.0,74.0
166,Irya Ray,irya.ray166@example.com,EEE,2027,7.47,0,False,74.7,59.02
167,Mohammed Khalsa,mohammed.khalsa167@example.com,CIVIL,2027,6.63,0,False,66.3,62.15
168,Nicholas Goel,nicholas.goel168@example.com,ECE,2027,5.59,1,True,51.9,52.95
169,Nitara Bakshi,nitara.bakshi169@example.com,CIVIL,2026,8.9,0,False,89.0,65.83
170,Praneel Natarajan,praneel.natarajan170@example.com,CIVIL,2026,6.32,0,False,63.2,64.35
171,Nisha Kothari,nisha.kothari171@example.com,ECE,2027,7.62,0,True,76.2,58.85
172,Amara Dutta,amara.dutta172@example.com,EEE,2026,6.22,0,False,62.2,62.1
173,Hritik Raja,hritik.raja173@example.com,CSE,2026,7.3,1,True,69.0,70.5
174,Balvan Singhal,balvan.singhal174@example.com,EEE,2027,6.64,0,False,66.4,69.2
175,Tristan Iyengar,tristan.iyengar175@example.com,EEE,2026,5.51,1,True,51.1,57.18
176,Triveni Palla,triveni.palla176@example.com,EEE,2027,7.83,0,False,78.3,74.82
177,Dalaja Kari,dalaja.kari177@example.com,IT,2026,5.73,0,False,57.3,66.98
178,Udant Bajwa,udant.bajwa178@example.com,CIVIL,2027,8.64,0,False,86.4,72.7
179,Reyansh Rastogi,reyansh.rastogi179@example.com,CSE,2027,8.69,0,False,86.9,77.12
180,Falguni Mallick,falguni.mallick180@example.com,CSE,2026,6.51,1,False,61.1,70.05
181,Ekaraj Mallick,ekaraj.mallick181@example.com,CIVIL,2026,8.41,0,False,84.1,74.22
182,Indali Upadhyay,indali.upadhyay182@example.com,EEE,2025,6.73,1,False,63.3,57.65
183,Mugdha Yadav,mugdha.yadav183@example.com,MECH,2027,6.15,0,False,61.5,61.42
184,Garima Bala,garima.bala184@example.com,EEE,2026,6.11,0,False,61.1,61.55
185,Jack Lal,jack.lal185@example.com,ECE,2027,7.78,1,False,73.8,77.28
186,Pranav Lanka,pranav.lanka186@example.com,EEE,2025,8.14,3,False,69.4,55.1
187,Balvan Chopra,balvan.chopra187@example.com,MECH,2026,7.68,0,False,76.8,73.4
188,Radha Pai,radha.pai188@example.com,CIVIL,2025,6.95,0,False,69.5,69.88
189,Dipta Sarin,dipta.sarin189@example.com,CSE,2026,6.55,1,False,61.5,61.75
190,Yasti D’Alia,yasti.d’alia190@example.com,EEE,2027,8.67,1,False,82.7,78.35
191,Lekha Gupta,lekha.gupta191@example.com,CSE,2025,8.43,0,False,84.3,76.15
192,Aachal Basu,aachal.basu192@example.com,EEE,2025,8.16,1,False,77.6,63.05
193,Rajata Agarwal,rajata.agarwal193@example.com,EEE,2027,7.56,1,False,71.6,70.3
194,Zinal Yohannan,zinal.yohannan194@example.com,ECE,2026,5.84,1,False,54.4,58.2
195,Ronith Patla,ronith.patla195@example.com,ECE,2027,7.29,0,False,72.9,67.45
196,Raagini Boase,raagini.boase196@example.com,CIVIL,2026,7.21,0,False,72.1,66.25
197,Ganga Murthy,ganga.murthy197@example.com,CIVIL,2027,5.66,0,False,56.6,64.3
198,Jeet Mital,jeet.mital198@example.com,EEE,2025,9.99,1,False,95.9,81.32
199,Yashica More,yashica.more199@example.com,IT,2027,8.67,0,False,86.7,74.35
200,Nilima Narain,nilima.narain200@example.com,CSE,2026,5.63,0,False,56.3,56.15
201,Neha Merchant,neha.merchant201@example.com,EEE,2027,7.44,0,False,74.4,58.2
202,Joshua Handa,joshua.handa202@example.com,MECH,2026,6.31,0,False,63.1,66.92
203,Osha Raghavan,osha.raghavan203@example.com,IT,2025,6.58,2,False,57.8,62.9
204,Owen Mitra,owen.mitra204@example.com,CSE,2026,6.64,0,False,66.4,76.2
205,Nidra Acharya,nidra.acharya205@example.com,EEE,2026,8.55,0,False,85.5,68.5
206,Daksha Mangat,daksha.mangat206@example.com,CIVIL,2026,6.85,3,False,56.5,54.25
207,Shivansh Sani,shivansh.sani207@example.com,EEE,2025,6.86,3,False,56.6,51.5
208,Ekanta Shroff,ekanta.shroff208@example.com,CIVIL,2026,8.07,0,True,80.7,69.02
209,Riya Sathe,riya.sathe209@example.com,CSE,2027,9.24,0,False,92.4,74.2
210,Tanay Vaidya,tanay.vaidya210@example.com,MECH,2027,9.0,3,False,78.0,76.4
211,Urvashi Gara,urvashi.gara211@example.com,IT,2027,9.57,0,False,95.7,78.05
212,Frado Mander,frado.mander212@example.com,ECE,2027,6.49,0,False,64.9,66.95
213,Yutika Nayak,yutika.nayak213@example.com,IT,2027,8.95,0,True,89.5,79.75
214,Girik Keer,girik.keer214@example.com,EEE,2025,8.32,0,False,83.2,69.93
215,Dayita Kar,dayita.kar215@example.com,ECE,2026,8.8,0,False,88.0,75.0
216,Rushil Din,rushil.din216@example.com,MECH,2026,6.29,0,False,62.9,66.28
217,Aryan Batra,aryan.batra217@example.com,ECE,2026,9.61,1,False,92.1,79.68
218,Yash Soman,yash.soman218@example.com,CSE,2026,6.83,1,False,64.3,52.9
219,Elijah Shah,elijah.shah219@example.com,CIVIL,2027,6.13,3,False,49.3,52.4
220,Oeshi Hayer,oeshi.hayer220@example.com,MECH,2026,7.29,1,True,68.9,71.32
221,Leena Talwar,leena.talwar221@example.com,CSE,2026,7.28,0,False,72.8,67.4
222,Mugdha Kohli,mugdha.kohli222@example.com,EEE,2027,8.87,0,False,88.7,67.47
223,Manbir Ahluwalia,manbir.ahluwalia223@example.com,CSE,2027,5.99,0,False,59.9,54.2
224,Hredhaan Sandal,hredhaan.sandal224@example.com,IT,2027,8.03,2,True,72.3,64.15
225,Theodore Goda,theodore.goda225@example.com,ECE,2027,9.21,2,False,84.1,73.05
226,Zarna Shetty,zarna.shetty226@example.com,ECE,2026,6.13,2,True,53.3,54.65
227,Chandresh Krish,chandresh.krish227@example.com,EEE,2026,6.56,0,False,65.6,65.3
228,Jairaj Shan,jairaj.shan228@example.com,MECH,2026,9.77,0,False,97.7,82.18
229,Kiaan Shetty,kiaan.shetty229@example.com,CIVIL,2025,8.77,2,False,79.7,65.85
230,Edhitha Savant,edhitha.savant230@example.com,ECE,2025,8.27,2,False,74.7,77.68
231,Yamini Sandhu,yamini.sandhu231@example.com,IT,2026,6.48,0,True,64.8,51.4
232,Sanaya Dutt,sanaya.dutt232@example.com,CIVIL,2026,8.59,0,True,85.9,80.95
233,Vaishnavi Sengupta,vaishnavi.sengupta233@example.com,EEE,2025,6.74,3,False,55.4,51.7
234,Aashi Kota,aashi.kota234@example.com,CSE,2025,8.39,0,False,83.9,68.82
235,Aradhana Verma,aradhana.verma235@example.com,MECH,2025,6.6,0,True,66.0,61.33
236,Vedhika Khare,vedhika.khare236@example.com,IT,2025,8.94,0,False,89.4,72.2
237,Anvi Sarraf,anvi.sarraf237@example.com,CSE,2026,6.16,2,False,53.6,53.97
238,Faras Mangal,faras.mangal238@example.com,ECE,2025,6.15,0,True,61.5,64.42
239,Wahab Magar,wahab.magar239@example.com,ECE,2025,9.4,0,False,94.0,73.0
240,Gautami Nagarajan,gautami.nagarajan240@example.com,IT,2027,5.57,0,False,55.7,49.18
241,Faris Devi,faris.devi241@example.com,EEE,2026,6.01,0,False,60.1,60.72
242,Matthew Kashyap,matthew.kashyap242@example.com,MECH,2025,5.99,0,False,59.9,53.15
243,Leela Dua,leela.dua243@example.com,ECE,2026,9.59,0,False,95.9,83.95
244,Tanish Bhatt,tanish.bhatt244@example.com,EEE,2026,5.64,3,False,44.4,63.8
245,Oeshi Reddy,oeshi.reddy245@example.com,CSE,2025,7.71,2,False,69.1,79.3
246,Ganga Shukla,ganga.shukla246@example.com,MECH,2027,6.17,0,False,61.7,70.35
247,Ojasvi Bhatia,ojasvi.bhatia247@example.com,MECH,2027,8.7,0,False,87.0,70.67
248,Samuel Salvi,samuel.salvi248@example.com,CIVIL,2025,7.77,0,False,77.7,60.48
249,Lopa Bahri,lopa.bahri249@example.com,CIVIL,2025,8.43,1,False,80.3,59.15
250,Lajita Sood,lajita.sood250@example.com,EEE,2026,9.5,0,False,95.0,77.5
251,Abeer Pandey,abeer.pandey251@example.com,CIVIL,2026,5.93,0,False,59.3,63.9
252,Chanchal Ramakrishnan,chanchal.ramakrishnan252@example.com,CSE,2025,6.19,2,False,53.9,55.62
253,Oni Yohannan,oni.yohannan253@example.com,CIVIL,2026,5.92,0,False,59.2,71.43
254,Thomas Sura,thomas.sura254@example.com,MECH,2027,8.0,0,False,80.0,76.25
255,Theodore Mahajan,theodore.mahajan255@example.com,CIVIL,2026,6.05,0,False,60.5,72.25
256,Rajata Sunder,rajata.sunder256@example.com,MECH,2026,8.74,3,False,75.4,61.37
257,Ayush Ramachandran,ayush.ramachandran257@example.com,CIVIL,2026,8.1,0,False,81.0,90.5
258,Gayathri Ravel,gayathri.ravel258@example.com,ECE,2025,5.99,1,False,55.9,58.95
259,Noah Sibal,noah.sibal259@example.com,MECH,2027,8.08,1,False,76.8,72.07
260,Joshua Walla,joshua.walla260@example.com,CIVIL,2027,8.39,0,False,83.9,81.45
261,Avi Ramesh,avi.ramesh261@example.com,ECE,2026,6.31,1,False,59.1,60.88
262,Avi Chacko,avi.chacko262@example.com,CIVIL,2026,6.32,0,True,63.2,61.2
263,Priya Deshmukh,priya.deshmukh263@example.com,CSE,2027,8.83,3,False,76.3,85.82
264,Triya Gopal,triya.gopal264@example.com,IT,2026,7.19,0,False,71.9,68.95
265,Chandresh Lad,chandresh.lad265@example.com,MECH,2025,6.96,2,False,61.6,56.8
266,Ladli Narang,ladli.narang266@example.com,CSE,2027,6.2,1,True,58.0,56.5
267,Siddharth Sha,siddharth.sha267@example.com,MECH,2026,7.49,0,False,74.9,69.32
268,Eta Nazareth,eta.nazareth268@example.com,ECE,2026,6.47,0,True,64.7,54.02
269,Ladli Mall,ladli.mall269@example.com,MECH,2027,8.55,0,False,85.5,71.75
270,Oviya Krishnan,oviya.krishnan270@example.com,CSE,2025,6.49,3,False,52.9,62.45
271,Finn Singhal,finn.singhal271@example.com,ECE,2026,9.75,1,False,93.5,69.95
272,Anirudh Zacharia,anirudh.zacharia272@example.com,IT,2025,5.53,1,False,51.3,63.4
273,Charles Palla,charles.palla273@example.com,CIVIL,2026,8.67,0,True,86.7,64.1
274,Udarsh Biswas,udarsh.biswas274@example.com,CSE,2026,9.38,0,False,93.8,70.1
275,Banjeet Balasubramanian,banjeet.balasubramanian275@example.com,MECH,2026,9.38,0,False,93.8,74.65
276,Yug Iyengar,yug.iyengar276@example.com,CSE,2026,7.38,0,False,73.8,65.7
277,Anmol Dua,anmol.dua277@example.com,CIVIL,2026,9.76,0,True,97.6,78.3
278,William Date,william.date278@example.com,MECH,2026,9.3,0,False,93.0,74.5
279,Urvashi Contractor,urvashi.contractor279@example.com,ECE,2025,7.28,0,False,72.8,58.02
280,Tejas Shroff,tejas.shroff280@example.com,CSE,2027,6.26,0,False,62.6,69.3
281,Aahana Pillay,aahana.pillay281@example.com,CIVIL,2027,9.58,0,False,95.8,73.9
282,Oliver Contractor,oliver.contractor282@example.com,IT,2025,6.56,0,False,65.6,59.8
283,Nihal Mukhopadhyay,nihal.mukhopadhyay283@example.com,IT,2027,8.92,0,False,89.2,66.27
284,Hritik Bal,hritik.bal284@example.com,EEE,2027,8.9,1,False,85.0,75.25
285,Devika Prashad,devika.prashad285@example.com,MECH,2026,8.04,0,False,80.4,80.87
286,Mekhala Issac,mekhala.issac286@example.com,CSE,2026,8.32,0,False,83.2,72.6
287,Faqid Kibe,faqid.kibe287@example.com,CSE,2026,6.86,0,False,68.6,61.7
288,Harsh Mitra,harsh.mitra288@example.com,CSE,2026,6.9,0,False,69.0,71.33
289,Jai Barman,jai.barman289@example.com,CSE,2027,5.85,1,False,54.5,50.08
290,Idika Walia,idika.walia290@example.com,CIVIL,2025,7.23,0,False,72.3,62.15
291,Priya Prabhakar,priya.prabhakar291@example.com,ECE,2027,9.14,0,False,91.4,77.32
292,Ekapad Toor,ekapad.toor292@example.com,CSE,2026,6.18,0,False,61.8,62.23
293,Harita Arora,harita.arora293@example.com,CSE,2025,5.88,0,False,58.8,68.9
294,Osha Suri,osha.suri294@example.com,MECH,2025,9.96,0,False,99.6,75.8
295,Hitesh Sant,hitesh.sant295@example.com,ECE,2027,9.63,0,False,96.3,77.65
