student_email,quant,logical,verbal
bakhshi.lad199@example.com,75,59,51
jagat.vyas200@example.com,92,99,48
vedhika.singh201@example.com,41,44,53
dakshesh.deshmukh202@example.com,59,90,98
gaurika.borde203@example.com,77,51,73
balhaar.kohli204@example.com,85,56,63
jyoti.kapadia205@example.com,60,80,85
ronith.sen206@example.com,83,56,79
wahab.shroff207@example.com,87,92,68
kala.shenoy208@example.com,56,49,81
jalsa.chatterjee209@example.com,42,66,68
jasmit.roy210@example.com,62,60,74
aahana.misra211@example.com,43,100,64
priya.vala212@example.com,44,95,100
suhani.goswami213@example.com,43,44,52
faras.pal214@example.com,92,56,47
jonathan.balay215@example.com,45,64,61
chatura.nagar216@example.com,56,50,55
zarna.contractor217@example.com,56,50,57
damyanti.keer218@example.com,53,71,48
irya.walia219@example.com,42,66,76
patrick.subramaniam220@example.com,51,91,72
vrinda.vaidya221@example.com,80,72,42
elijah.handa222@example.com,95,59,69
benjamin.pandit223@example.com,46,70,65
balvan.kannan224@example.com,87,47,80
kevin.bhandari225@example.com,52,70,82
dhriti.nayar226@example.com,44,93,85
arunima.bajwa227@example.com,79,91,42
omaja.tella228@example.com,65,59,47
charita.gara229@example.com,74,80,48
upma.kumar230@example.com,82,85,82
ojasvi.aggarwal231@example.com,77,65,84
dalbir.ram232@example.com,43,53,90
raagini.mitra233@example.com,88,42,53
inaya.bumb234@example.com,43,92,96
pratyush.batra235@example.com,91,52,44
chasmum.sengupta236@example.com,97,69,83
janani.chatterjee237@example.com,94,66,64
pavani.lata238@example.com,87,52,47
omkaar.bawa239@example.com,48,50,80
deepa.palla240@example.com,95,100,98
tamanna.walia241@example.com,49,92,70
rachita.mangal242@example.com,90,84,74
urvi.bath243@example.com,78,72,55
charvi.mand244@example.com,97,88,86
omya.chaudhry245@example.com,67,53,97
caleb.loyal246@example.com,70,76,100
samesh.kala247@example.com,69,68,99
krish.bains248@example.com,85,70,79
ijaya.gala249@example.com,90,49,77
rishi.radhakrishnan250@example.com,63,76,45
pooja.natt251@example.com,86,98,80
vanya.ranganathan252@example.com,84,87,49
zinal.hayer253@example.com,87,40,47
om.salvi254@example.com,75,60,85
luke.chakrabarti255@example.com,87,77,91
chatresh.nigam256@example.com,98,40,44
vincent.chada257@example.com,59,76,71
ekiya.singhal258@example.com,81,41,73
timothy.sibal259@example.com,86,67,64
kashish.ghosh260@example.com,79,60,68
alexander.rastogi261@example.com,52,77,41
adweta.choudhry262@example.com,94,92,63
devika.chana263@example.com,94,47,76
harsh.shanker264@example.com,94,45,94
alka.date265@example.com,87,47,66
samesh.natt266@example.com,84,60,93
yashoda.nagi267@example.com,96,93,82
michael.keer268@example.com,51,85,79
jeremiah.batta269@example.com,42,96,94
yashoda.dugar270@example.com,84,80,52
william.rastogi271@example.com,44,77,79
yamini.grover272@example.com,47,51,52
barkha.kohli273@example.com,95,94,62
ekbal.pradhan274@example.com,65,84,100
upma.borah275@example.com,52,84,80
banjeet.kara276@example.com,72,92,93
deepa.dhillon277@example.com,55,90,88
sai.mall278@example.com,47,71,91
shivani.lata279@example.com,76,71,41
madhav.master280@example.com,45,69,58
jagvi.gole281@example.com,72,61,90
vihaan.subramanian282@example.com,79,85,44
vincent.comar283@example.com,65,50,65
suhani.vyas284@example.com,95,82,99
vritti.raja285@example.com,41,53,92
ekta.badami286@example.com,98,72,48
samar.sha287@example.com,69,66,65
varsha.ben288@example.com,95,42,94
jack.barman289@example.com,43,42,81
bimala.om290@example.com,83,81,46
yashawini.ben291@example.com,41,71,51
saumya.dar292@example.com,97,47,58
harsh.keer293@example.com,42,83,41
krishna.sur294@example.com,56,59,54
mohini.ratti295@example.com,53,91,85
hema.karan296@example.com,92,99,58
rachita.saha297@example.com,66,94,100
peter.raja298@example.com,63,90,96
devansh.kade299@example.com,66,82,95
rajeshri.gopal300@example.com,70,42,48
nikita.seth301@example.com,63,92,93
reyansh.narang302@example.com,46,99,63
advay.peri303@example.com,62,49,90
gauri.luthra304@example.com,47,77,45
pratyush.d’alia305@example.com,100,41,65
pooja.pillay306@example.com,89,41,83
kamya.sawhney307@example.com,99,73,43
indali.talwar308@example.com,85,93,73
oeshi.modi309@example.com,87,94,85
gautam.rastogi310@example.com,67,68,91
abhimanyu.subramaniam311@example.com,51,48,75
vamakshi.mand312@example.com,79,70,49
vamakshi.toor313@example.com,79,61,71
praneel.deshpande314@example.com,42,71,95
raksha.mahal315@example.com,95,54,62
mekhala.bala316@example.com,83,86,73
ekalinga.bir317@example.com,74,66,95
jacob.madan318@example.com,64,69,99
isha.suri319@example.com,61,83,96
jagat.muni320@example.com,92,71,67
ranveer.bakshi321@example.com,65,88,100
ridhi.bora322@example.com,41,87,99
jagdish.lalla323@example.com,42,83,92
hredhaan.dhar324@example.com,69,55,69
gaurika.aggarwal325@example.com,81,40,75
jagvi.nigam326@example.com,83,77,99
sneha.kunda327@example.com,67,100,85
zehaan.dutta328@example.com,77,44,97
girish.murty329@example.com,91,94,55
rajata.pau330@example.com,64,73,56
saksham.deol331@example.com,69,90,70
logan.keer332@example.com,47,99,78
harshil.chadha333@example.com,49,86,56
mugdha.tank334@example.com,66,54,85
vasana.bail335@example.com,50,69,95
chaitanya.pandey336@example.com,42,89,45
sneha.chada337@example.com,81,81,79
suhani.pai338@example.com,74,72,70
bhanumati.din339@example.com,53,99,96
joshua.bhat340@example.com,100,95,90
zayyan.narula341@example.com,89,50,61
chameli.warrior342@example.com,100,99,60
aarav.bose343@example.com,71,62,94
bhavya.kuruvilla344@example.com,51,95,40
ishani.sahota345@example.com,44,60,44
bhanumati.halder346@example.com,73,70,60
gauri.gupta347@example.com,77,63,69
lucky.nigam348@example.com,55,44,71
tanmayi.sandhu349@example.com,67,46,98
dayamai.arya350@example.com,57,46,67
keya.jha351@example.com,97,40,94
vincent.sundaram352@example.com,95,49,44
alexander.gola353@example.com,64,87,91
shaurya.verma354@example.com,99,40,51
vansha.sami355@example.com,43,77,59
siddharth.nair356@example.com,86,54,64
bhavna.mohanty357@example.com,72,64,56
bhavini.acharya358@example.com,72,76,59
harinakshi.das359@example.com,48,77,58
anvi.raju360@example.com,78,60,95
garima.mand361@example.com,63,40,47
sachi.kalla362@example.com,81,67,94
tanay.bhargava363@example.com,56,100,68
aadi.kunda364@example.com,99,96,86
jonathan.nadig365@example.com,92,63,53
jonathan.manne366@example.com,43,53,40
anmol.date367@example.com,46,96,44
yug.deo368@example.com,73,88,78
adya.anand369@example.com,93,77,65
vritti.krishnan370@example.com,88,90,49
gaurav.bava371@example.com,83,47,46
rajata.chakraborty372@example.com,90,83,97
nirja.bakshi373@example.com,69,58,91
orinder.chana374@example.com,88,52,56
anirudh.kanda375@example.com,70,43,59
ishita.prasad376@example.com,57,57,41
hemang.varty377@example.com,48,89,50
aarini.hayre378@example.com,72,50,57
eiravati.doctor379@example.com,95,40,89
charita.bhagat380@example.com,46,44,40
vrinda.sabharwal381@example.com,43,40,47
libni.rai382@example.com,67,71,68
meera.bhatnagar383@example.com,87,75,84
chakradhar.sheth384@example.com,60,97,74
hemani.bhatnagar385@example.com,81,62,84
nimrat.mutti386@example.com,59,55,85
osha.lalla387@example.com,48,84,63
amara.keer388@example.com,54,98,56
falak.hegde389@example.com,70,57,61
chakradev.sarma390@example.com,76,41,78
isaac.biswas391@example.com,95,81,59
nilima.luthra392@example.com,72,99,68
nidhi.dora393@example.com,47,51,91
qasim.shankar394@example.com,66,58,96
yamini.soman395@example.com,66,61,66
utkarsh.goel396@example.com,79,92,56
ekaraj.deo397@example.com,64,41,99
vyanjana.goyal398@example.com,86,62,65
kritika.dubey399@example.com,51,90,90
kashish.lata400@example.com,47,88,60
ayushman.majumdar401@example.com,58,68,64
jairaj.bhatti402@example.com,74,66,90
qushi.chhabra403@example.com,41,43,62
avi.sahni404@example.com,95,73,84
yuvraj.sabharwal405@example.com,89,40,51
om.anne406@example.com,56,81,55
warjas.ranganathan407@example.com,42,80,55
maya.contractor408@example.com,40,94,90
eesha.ben409@example.com,67,91,62
varsha.golla410@example.com,57,49,77
yashoda.kota411@example.com,72,99,65
advay.tank412@example.com,75,57,46
meghana.batra413@example.com,46,41,84
mahika.krish414@example.com,60,41,43
onveer.varty415@example.com,81,60,53
ganga.patla416@example.com,63,71,95
harrison.din417@example.com,93,76,87
yahvi.dyal418@example.com,52,86,69
manbir.chana419@example.com,57,46,76
vivaan.mitter420@example.com,86,86,64
max.more421@example.com,90,82,66
yahvi.raju422@example.com,48,65,79
keya.dave423@example.com,91,56,77
nidra.prakash424@example.com,98,93,82
meera.natarajan425@example.com,89,67,81
chanakya.sodhi426@example.com,51,53,49
falak.upadhyay427@example.com,45,92,98
arya.saini428@example.com,100,60,70
dalbir.viswanathan429@example.com,85,40,67
rudra.pandya430@example.com,69,88,42
vedhika.pant431@example.com,51,88,97
nidhi.krishna432@example.com,40,87,45
darika.malhotra433@example.com,45,74,79
kiaan.venkatesh434@example.com,43,51,97
avi.palan435@example.com,92,64,86
vaishnavi.deshpande436@example.com,83,64,46
jagdish.shan437@example.com,77,87,75
dakshesh.dhingra438@example.com,98,57,58
aadhya.thakur439@example.com,41,89,46
anvi.shukla440@example.com,62,90,57
hema.prashad441@example.com,47,62,63
chasmum.lanka442@example.com,65,52,79
samarth.sethi443@example.com,98,47,67
lakshmi.banik444@example.com,70,44,59
harini.prabhakar445@example.com,64,81,67
yamini.manne446@example.com,50,77,79
ansh.behl447@example.com,69,96,80
liam.gupta448@example.com,43,67,80
leela.mohan449@example.com,46,99,64
pahal.andra450@example.com,87,65,92
darsh.aggarwal451@example.com,48,64,76
siya.gaba452@example.com,61,60,56
shivansh.sathe453@example.com,82,91,84
daksha.sane454@example.com,72,84,56
upasna.minhas455@example.com,59,97,83
sanya.mutti456@example.com,43,46,43
rudra.deol457@example.com,95,80,48
osha.soni458@example.com,57,81,50
manthan.dasgupta459@example.com,47,84,54
dalaja.ahuja460@example.com,83,98,48
inaya.vora461@example.com,75,61,45
jagdish.radhakrishnan462@example.com,47,55,67
anya.kashyap463@example.com,45,41,47
anvi.bajaj464@example.com,52,52,81
vedika.trivedi465@example.com,62,79,44
harrison.mandal466@example.com,51,45,47
matthew.raman467@example.com,45,92,46
urvashi.kibe468@example.com,44,60,97
jhalak.sankaran469@example.com,82,65,94
gagan.babu470@example.com,87,58,95
qadim.banerjee471@example.com,91,87,52
jackson.narayanan472@example.com,72,99,65
aradhana.dhar473@example.com,68,87,93
qadim.bath474@example.com,40,72,52
chandani.hayer475@example.com,52,45,100
aadhya.gopal476@example.com,52,95,69
dipta.mander477@example.com,68,76,42
ekapad.radhakrishnan478@example.com,85,91,73
arunima.sankar479@example.com,69,54,80
yutika.sandhu480@example.com,43,63,74
ekapad.ramachandran481@example.com,86,66,55
abha.talwar482@example.com,50,75,91
warda.mohanty483@example.com,67,63,93
ikshita.bir484@example.com,52,77,75
fitan.palla485@example.com,55,49,57
mugdha.ramachandran486@example.com,66,60,47
arya.sunder487@example.com,50,66,63
abha.grover488@example.com,46,56,95
noah.agate489@example.com,87,98,99
kamya.gour490@example.com,54,70,48
vivaan.shanker491@example.com,46,72,82
vritti.de492@example.com,49,76,58
mohini.bal493@example.com,47,45,53
akshay.pandey494@example.com,63,57,87
amrita.anne495@example.com,50,43,96
aradhana.more496@example.com,56,58,88
sanya.ram497@example.com,70,96,91
hemang.goyal498@example.com,100,75,99
fariq.nayak499@example.com,83,99,72
