student_email,company_name,role
timothy.kala81@example.com,Infosys,Intern
vinaya.wason82@example.com,Infosys,Intern
turvi.borde83@example.com,Infosys,Intern
henry.gopal84@example.com,Infosys,Intern
sai.prabhu85@example.com,Infosys,Intern
victor.upadhyay86@example.com,Infosys,Intern
falan.dalal87@example.com,Infosys,Intern
neelima.datta88@example.com,Infosys,Intern
oeshi.pathak89@example.com,Infosys,Intern
chanchal.dora90@example.com,Infosys,Intern
finn.master91@example.com,Infosys,Intern
timothy.kaul92@example.com,Infosys,Intern
wyatt.batra93@example.com,Infosys,Intern
chaaya.shenoy94@example.com,Infosys,Intern
lopa.parmer95@example.com,Infosys,Intern
matthew.raju96@example.com,Infosys,Intern
abdul.upadhyay97@example.com,Infosys,Intern
abhiram.wadhwa98@example.com,Infosys,Intern
ubika.sankaran99@example.com,Infosys,Intern
ekiya.jhaveri100@example.com,Infosys,Intern
yasti.krish101@example.com,Infosys,Intern
anita.dhillon102@example.com,Infosys,Intern
hema.rastogi103@example.com,Infosys,Intern
suhani.dutt104@example.com,Infosys,Intern
gautam.kari105@example.com,Infosys,Intern
eta.prabhu106@example.com,Infosys,Intern
avni.sinha107@example.com,Infosys,Intern
onveer.hayer108@example.com,Infosys,Intern
praneel.ganesan109@example.com,Infosys,Intern
rudra.kala110@example.com,Infosys,Intern
hardik.buch111@example.com,Infosys,Intern
irya.wadhwa112@example.com,Infosys,Intern
xiti.vora113@example.com,Infosys,Intern
divya.sridhar114@example.com,Infosys,Intern
gunbir.dyal115@example.com,Infosys,Intern
warinder.kant116@example.com,Infosys,Intern
chanakya.batra117@example.com,Infosys,Intern
ayushman.bhatia118@example.com,Infosys,Intern
mohammed.sachdeva119@example.com,Infosys,Intern
chanchal.acharya120@example.com,Infosys,Intern
dayita.bhalla121@example.com,Infosys,Intern
krisha.apte122@example.com,Infosys,Intern
radhika.nair123@example.com,Infosys,Intern
agastya.padmanabhan124@example.com,Infosys,Intern
pratyush.kalita125@example.com,Infosys,Intern
pranav.jain126@example.com,Infosys,Intern
urvashi.bansal127@example.com,Infosys,Intern
indali.bains128@example.com,Infosys,Intern
anusha.anne129@example.com,Infosys,Intern
pushti.jha130@example.com,Infosys,Intern
anmol.narasimhan131@example.com,Infosys,Intern
ryan.dhar132@example.com,Infosys,Intern
brinda.dara133@example.com,Infosys,Intern
divya.salvi134@example.com,Infosys,Intern
farhan.comar135@example.com,Infosys,Intern
lajita.minhas136@example.com,Infosys,Intern
widisha.gole137@example.com,Infosys,Intern
rehaan.padmanabhan138@example.com,Infosys,Intern
eta.magar139@example.com,Infosys,Intern
sanaya.khurana140@example.com,Infosys,Intern
panini.parmar141@example.com,Infosys,Intern
vaishnavi.kala142@example.com,Infosys,Intern
bhavini.nagy143@example.com,Infosys,Intern
bhavika.banik144@example.com,Infosys,Intern
xalak.madan145@example.com,Infosys,Intern
gayathri.bose146@example.com,Infosys,Intern
dipta.khanna147@example.com,Infosys,Intern
nilima.merchant148@example.com,Infosys,Intern
viraj.sama149@example.com,Infosys,Intern
chaitanya.basu150@example.com,Infosys,Intern
ojasvi.dugar151@example.com,Infosys,Intern
champak.padmanabhan152@example.com,Infosys,Intern
vihaan.balay153@example.com,Infosys,Intern
darpan.mutti154@example.com,Infosys,Intern
zinal.trivedi155@example.com,Infosys,Intern
lakshit.kadakia156@example.com,Infosys,Intern
yauvani.chaudhry157@example.com,Infosys,Intern
aarna.patla158@example.com,Infosys,Intern
keya.natarajan159@example.com,Infosys,Intern
forum.bala160@example.com,Infosys,Intern
wahab.murthy161@example.com,Infosys,Intern
aadi.warrior162@example.com,Infosys,Intern
kashvi.rastogi163@example.com,Infosys,Intern
azaan.issac164@example.com,Infosys,Intern
ganga.das165@example.com,Infosys,Intern
nisha.thakur166@example.com,Infosys,Intern
eesha.kalla167@example.com,Infosys,Intern
ekansh.comar168@example.com,Infosys,Intern
shivansh.bains169@example.com,Infosys,Intern
tejas.wason170@example.com,Infosys,Intern
maya.sengupta171@example.com,Infosys,Intern
falan.malhotra172@example.com,Infosys,Intern
pahal.raju173@example.com,Infosys,Intern
balveer.jani174@example.com,Infosys,Intern
ayaan.kapoor175@example.com,Infosys,Intern
kritika.pall176@example.com,Infosys,Intern
lipika.bahri177@example.com,Infosys,Intern
xiti.sami178@example.com,Infosys,Intern
kashvi.kaur179@example.com,Infosys,Intern
rachita.sengupta180@example.com,Infosys,Intern
hritik.ben181@example.com,Infosys,Intern
balvan.sheth182@example.com,Infosys,Intern
balhaar.bala183@example.com,Infosys,Intern
guneet.cherian184@example.com,Infosys,Intern
parth.mani185@example.com,Infosys,Intern
raksha.raju186@example.com,Infosys,Intern
shivansh.kara187@example.com,Infosys,Intern
vrinda.kapoor188@example.com,Infosys,Intern
pavani.tak189@example.com,Infosys,Intern
zarna.rege190@example.com,Infosys,Intern
anjali.prasad191@example.com,Infosys,Intern
advay.bath192@example.com,Infosys,Intern
ojasvi.bumb193@example.com,Infosys,Intern
nitara.misra194@example.com,Infosys,Intern
onveer.ray195@example.com,Infosys,Intern
logan.johal196@example.com,Infosys,Intern
mitali.handa197@example.com,Infosys,Intern
benjamin.konda198@example.com,Infosys,Intern
bakhshi.lad199@example.com,Infosys,Intern
jagat.vyas200@example.com,Infosys,Intern
vedhika.singh201@example.com,Infosys,Intern
dakshesh.deshmukh202@example.com,Infosys,Intern
gaurika.borde203@example.com,Infosys,Intern
balhaar.kohli204@example.com,Infosys,Intern
jyoti.kapadia205@example.com,Infosys,Intern
ronith.sen206@example.com,Infosys,Intern
wahab.shroff207@example.com,Infosys,Intern
kala.shenoy208@example.com,Infosys,Intern
jalsa.chatterjee209@example.com,Infosys,Intern
jasmit.roy210@example.com,Infosys,Intern
aahana.misra211@example.com,Infosys,Intern
priya.vala212@example.com,Infosys,Intern
suhani.goswami213@example.com,Infosys,Intern
faras.pal214@example.com,Infosys,Intern
jonathan.balay215@example.com,Infosys,Intern
chatura.nagar216@example.com,Infosys,Intern
zarna.contractor217@example.com,Infosys,Intern
damyanti.keer218@example.com,Infosys,Intern
irya.walia219@example.com,Infosys,Intern
patrick.subramaniam220@example.com,Infosys,Intern
vrinda.vaidya221@example.com,Infosys,Intern
elijah.handa222@example.com,Infosys,Intern
benjamin.pandit223@example.com,Infosys,Intern
balvan.kannan224@example.com,Infosys,Intern
kevin.bhandari225@example.com,Infosys,Intern
dhriti.nayar226@example.com,Infosys,Intern
arunima.bajwa227@example.com,Infosys,Intern
omaja.tella228@example.com,Infosys,Intern
charita.gara229@example.com,Infosys,Intern
upma.kumar230@example.com,Infosys,Intern
ojasvi.aggarwal231@example.com,Infosys,Intern
dalbir.ram232@example.com,Infosys,Intern
raagini.mitra233@example.com,Infosys,Intern
inaya.bumb234@example.com,Infosys,Intern
pratyush.batra235@example.com,Infosys,Intern
chasmum.sengupta236@example.com,Infosys,Intern
janani.chatterjee237@example.com,Infosys,Intern
pavani.lata238@example.com,Infosys,Intern
omkaar.bawa239@example.com,Infosys,Intern
deepa.palla240@example.com,Infosys,Intern
tamanna.walia241@example.com,Infosys,Intern
rachita.mangal242@example.com,Infosys,Intern
urvi.bath243@example.com,Infosys,Intern
charvi.mand244@example.com,Infosys,Intern
omya.chaudhry245@example.com,Infosys,Intern
caleb.loyal246@example.com,Infosys,Intern
samesh.kala247@example.com,Infosys,Intern
krish.bains248@example.com,Infosys,Intern
ijaya.gala249@example.com,Infosys,Intern
rishi.radhakrishnan250@example.com,Infosys,Intern
pooja.natt251@example.com,Infosys,Intern
vanya.ranganathan252@example.com,Infosys,Intern
zinal.hayer253@example.com,Infosys,Intern
om.salvi254@example.com,Infosys,Intern
luke.chakrabarti255@example.com,Infosys,Intern
chatresh.nigam256@example.com,Infosys,Intern
vincent.chada257@example.com,Infosys,Intern
ekiya.singhal258@example.com,Infosys,Intern
timothy.sibal259@example.com,Infosys,Intern
kashish.ghosh260@example.com,Infosys,Intern
alexander.rastogi261@example.com,Infosys,Intern
adweta.choudhry262@example.com,Infosys,Intern
devika.chana263@example.com,Infosys,Intern
harsh.shanker264@example.com,Infosys,Intern
alka.date265@example.com,Infosys,Intern
samesh.natt266@example.com,Infosys,Intern
yashoda.nagi267@example.com,Infosys,Intern
michael.keer268@example.com,Infosys,Intern
jeremiah.batta269@example.com,Infosys,Intern
yashoda.dugar270@example.com,Infosys,Intern
william.rastogi271@example.com,Infosys,Intern
yamini.grover272@example.com,Infosys,Intern
barkha.kohli273@example.com,Infosys,Intern
ekbal.pradhan274@example.com,Infosys,Intern
upma.borah275@example.com,Infosys,Intern
banjeet.kara276@example.com,Infosys,Intern
deepa.dhillon277@example.com,Infosys,Intern
sai.mall278@example.com,Infosys,Intern
shivani.lata279@example.com,Infosys,Intern
madhav.master280@example.com,Infosys,Intern
jagvi.gole281@example.com,Infosys,Intern
vihaan.subramanian282@example.com,Infosys,Intern
vincent.comar283@example.com,Infosys,Intern
suhani.vyas284@example.com,Infosys,Intern
vritti.raja285@example.com,Infosys,Intern
ekta.badami286@example.com,Infosys,Intern
samar.sha287@example.com,Infosys,Intern
varsha.ben288@example.com,Infosys,Intern
jack.barman289@example.com,Infosys,Intern
bimala.om290@example.com,Infosys,Intern
yashawini.ben291@example.com,Infosys,Intern
saumya.dar292@example.com,Infosys,Intern
harsh.keer293@example.com,Infosys,Intern
krishna.sur294@example.com,Infosys,Intern
mohini.ratti295@example.com,Infosys,Intern
hema.karan296@example.com,Infosys,Intern
rachita.saha297@example.com,Infosys,Intern
peter.raja298@example.com,Infosys,Intern
devansh.kade299@example.com,Infosys,Intern
rajeshri.gopal300@example.com,Infosys,Intern
nikita.seth301@example.com,Infosys,Intern
reyansh.narang302@example.com,Infosys,Intern
advay.peri303@example.com,Infosys,Intern
gauri.luthra304@example.com,Infosys,Intern
pratyush.d’alia305@example.com,Infosys,Intern
pooja.pillay306@example.com,Infosys,Intern
kamya.sawhney307@example.com,Infosys,Intern
indali.talwar308@example.com,Infosys,Intern
oeshi.modi309@example.com,Infosys,Intern
gautam.rastogi310@example.com,Infosys,Intern
abhimanyu.subramaniam311@example.com,Infosys,Intern
vamakshi.mand312@example.com,Infosys,Intern
vamakshi.toor313@example.com,Infosys,Intern
praneel.deshpande314@example.com,Infosys,Intern
raksha.mahal315@example.com,Infosys,Intern
mekhala.bala316@example.com,Infosys,Intern
ekalinga.bir317@example.com,Infosys,Intern
jacob.madan318@example.com,Infosys,Intern
isha.suri319@example.com,Infosys,Intern
jagat.muni320@example.com,Infosys,Intern
ranveer.bakshi321@example.com,Infosys,Intern
ridhi.bora322@example.com,Infosys,Intern
jagdish.lalla323@example.com,Infosys,Intern
hredhaan.dhar324@example.com,Infosys,Intern
gaurika.aggarwal325@example.com,Infosys,Intern
jagvi.nigam326@example.com,Infosys,Intern
sneha.kunda327@example.com,Infosys,Intern
zehaan.dutta328@example.com,Infosys,Intern
girish.murty329@example.com,Infosys,Intern
rajata.pau330@example.com,Infosys,Intern
saksham.deol331@example.com,Infosys,Intern
logan.keer332@example.com,Infosys,Intern
harshil.chadha333@example.com,Infosys,Intern
mugdha.tank334@example.com,Infosys,Intern
vasana.bail335@example.com,Infosys,Intern
chaitanya.pandey336@example.com,Infosys,Intern
sneha.chada337@example.com,Infosys,Intern
suhani.pai338@example.com,Infosys,Intern
bhanumati.din339@example.com,Infosys,Intern
joshua.bhat340@example.com,Infosys,Intern
zayyan.narula341@example.com,Infosys,Intern
chameli.warrior342@example.com,Infosys,Intern
aarav.bose343@example.com,Infosys,Intern
bhavya.kuruvilla344@example.com,Infosys,Intern
ishani.sahota345@example.com,Infosys,Intern
bhanumati.halder346@example.com,Infosys,Intern
gauri.gupta347@example.com,Infosys,Intern
lucky.nigam348@example.com,Infosys,Intern
tanmayi.sandhu349@example.com,Infosys,Intern
dayamai.arya350@example.com,Infosys,Intern
keya.jha351@example.com,Infosys,Intern
vincent.sundaram352@example.com,Infosys,Intern
alexander.gola353@example.com,Infosys,Intern
shaurya.verma354@example.com,Infosys,Intern
vansha.sami355@example.com,Infosys,Intern
siddharth.nair356@example.com,Infosys,Intern
bhavna.mohanty357@example.com,Infosys,Intern
bhavini.acharya358@example.com,Infosys,Intern
harinakshi.das359@example.com,Infosys,Intern
anvi.raju360@example.com,Infosys,Intern
garima.mand361@example.com,Infosys,Intern
sachi.kalla362@example.com,Infosys,Intern
tanay.bhargava363@example.com,Infosys,Intern
aadi.kunda364@example.com,Infosys,Intern
jonathan.nadig365@example.com,Infosys,Intern
jonathan.manne366@example.com,Infosys,Intern
anmol.date367@example.com,Infosys,Intern
yug.deo368@example.com,Infosys,Intern
adya.anand369@example.com,Infosys,Intern
vritti.krishnan370@example.com,Infosys,Intern
gaurav.bava371@example.com,Infosys,Intern
rajata.chakraborty372@example.com,Infosys,Intern
nirja.bakshi373@example.com,Infosys,Intern
orinder.chana374@example.com,Infosys,Intern
anirudh.kanda375@example.com,Infosys,Intern
ishita.prasad376@example.com,Infosys,Intern
hemang.varty377@example.com,Infosys,Intern
aarini.hayre378@example.com,Infosys,Intern
eiravati.doctor379@example.com,Infosys,Intern
charita.bhagat380@example.com,Infosys,Intern
vrinda.sabharwal381@example.com,Infosys,Intern
libni.rai382@example.com,Infosys,Intern
meera.bhatnagar383@example.com,Infosys,Intern
chakradhar.sheth384@example.com,Infosys,Intern
hemani.bhatnagar385@example.com,Infosys,Intern
nimrat.mutti386@example.com,Infosys,Intern
osha.lalla387@example.com,Infosys,Intern
amara.keer388@example.com,Infosys,Intern
falak.hegde389@example.com,Infosys,Intern
chakradev.sarma390@example.com,Infosys,Intern
isaac.biswas391@example.com,Infosys,Intern
nilima.luthra392@example.com,Infosys,Intern
nidhi.dora393@example.com,Infosys,Intern
qasim.shankar394@example.com,Infosys,Intern
yamini.soman395@example.com,Infosys,Intern
utkarsh.goel396@example.com,Infosys,Intern
ekaraj.deo397@example.com,Infosys,Intern
vyanjana.goyal398@example.com,Infosys,Intern
kritika.dubey399@example.com,Infosys,Intern
kashish.lata400@example.com,Infosys,Intern
ayushman.majumdar401@example.com,Infosys,Intern
jairaj.bhatti402@example.com,Infosys,Intern
qushi.chhabra403@example.com,Infosys,Intern
avi.sahni404@example.com,Infosys,Intern
yuvraj.sabharwal405@example.com,Infosys,Intern
om.anne406@example.com,Infosys,Intern
warjas.ranganathan407@example.com,Infosys,Intern
maya.contractor408@example.com,Infosys,Intern
eesha.ben409@example.com,Infosys,Intern
varsha.golla410@example.com,Infosys,Intern
yashoda.kota411@example.com,Infosys,Intern
advay.tank412@example.com,Infosys,Intern
meghana.batra413@example.com,Infosys,Intern
mahika.krish414@example.com,Infosys,Intern
onveer.varty415@example.com,Infosys,Intern
ganga.patla416@example.com,Infosys,Intern
harrison.din417@example.com,Infosys,Intern
yahvi.dyal418@example.com,Infosys,Intern
manbir.chana419@example.com,Infosys,Intern
vivaan.mitter420@example.com,Infosys,Intern
max.more421@example.com,Infosys,Intern
yahvi.raju422@example.com,Infosys,Intern
keya.dave423@example.com,Infosys,Intern
nidra.prakash424@example.com,Infosys,Intern
meera.natarajan425@example.com,Infosys,Intern
chanakya.sodhi426@example.com,Infosys,Intern
falak.upadhyay427@example.com,Infosys,Intern
arya.saini428@example.com,Infosys,Intern
dalbir.viswanathan429@example.com,Infosys,Intern
rudra.pandya430@example.com,Infosys,Intern
vedhika.pant431@example.com,Infosys,Intern
nidhi.krishna432@example.com,Infosys,Intern
darika.malhotra433@example.com,Infosys,Intern
kiaan.venkatesh434@example.com,Infosys,Intern
avi.palan435@example.com,Infosys,Intern
vaishnavi.deshpande436@example.com,Infosys,Intern
jagdish.shan437@example.com,Infosys,Intern
dakshesh.dhingra438@example.com,Infosys,Intern
aadhya.thakur439@example.com,Infosys,Intern
anvi.shukla440@example.com,Infosys,Intern
hema.prashad441@example.com,Infosys,Intern
chasmum.lanka442@example.com,Infosys,Intern
samarth.sethi443@example.com,Infosys,Intern
lakshmi.banik444@example.com,Infosys,Intern
harini.prabhakar445@example.com,Infosys,Intern
yamini.manne446@example.com,Infosys,Intern
ansh.behl447@example.com,Infosys,Intern
liam.gupta448@example.com,Infosys,Intern
leela.mohan449@example.com,Infosys,Intern
pahal.andra450@example.com,Infosys,Intern
darsh.aggarwal451@example.com,Infosys,Intern
siya.gaba452@example.com,Infosys,Intern
shivansh.sathe453@example.com,Infosys,Intern
daksha.sane454@example.com,Infosys,Intern
upasna.minhas455@example.com,Infosys,Intern
sanya.mutti456@example.com,Infosys,Intern
rudra.deol457@example.com,Infosys,Intern
osha.soni458@example.com,Infosys,Intern
manthan.dasgupta459@example.com,Infosys,Intern
dalaja.ahuja460@example.com,Infosys,Intern
inaya.vora461@example.com,Infosys,Intern
jagdish.radhakrishnan462@example.com,Infosys,Intern
anya.kashyap463@example.com,Infosys,Intern
anvi.bajaj464@example.com,Infosys,Intern
vedika.trivedi465@example.com,Infosys,Intern
harrison.mandal466@example.com,Infosys,Intern
matthew.raman467@example.com,Infosys,Intern
urvashi.kibe468@example.com,Infosys,Intern
jhalak.sankaran469@example.com,Infosys,Intern
gagan.babu470@example.com,Infosys,Intern
qadim.banerjee471@example.com,Infosys,Intern
jackson.narayanan472@example.com,Infosys,Intern
aradhana.dhar473@example.com,Infosys,Intern
qadim.bath474@example.com,Infosys,Intern
chandani.hayer475@example.com,Infosys,Intern
aadhya.gopal476@example.com,Infosys,Intern
dipta.mander477@example.com,Infosys,Intern
ekapad.radhakrishnan478@example.com,Infosys,Intern
arunima.sankar479@example.com,Infosys,Intern
yutika.sandhu480@example.com,Infosys,Intern
ekapad.ramachandran481@example.com,Infosys,Intern
abha.talwar482@example.com,Infosys,Intern
warda.mohanty483@example.com,Infosys,Intern
ikshita.bir484@example.com,Infosys,Intern
fitan.palla485@example.com,Infosys,Intern
mugdha.ramachandran486@example.com,Infosys,Intern
arya.sunder487@example.com,Infosys,Intern
abha.grover488@example.com,Infosys,Intern
noah.agate489@example.com,Infosys,Intern
kamya.gour490@example.com,Infosys,Intern
vivaan.shanker491@example.com,Infosys,Intern
vritti.de492@example.com,Infosys,Intern
mohini.bal493@example.com,Infosys,Intern
akshay.pandey494@example.com,Infosys,Intern
amrita.anne495@example.com,Infosys,Intern
aradhana.more496@example.com,Infosys,Intern
sanya.ram497@example.com,Infosys,Intern
hemang.goyal498@example.com,Infosys,Intern
fariq.nayak499@example.com,Infosys,Intern
