student_email,semester,sgpa
sathvik.rao23@example.com,3,7.68
sathvik.rao23@example.com,4,6.21
sathvik.rao23@example.com,5,9.3
sathvik.rao23@example.com,6,7.65
sathvik.rao23@example.com,7,8.92
sathvik.rao23@example.com,8,8.89
oscar.karpe24@example.com,1,6.26
oscar.karpe24@example.com,2,9.79
oscar.karpe24@example.com,3,8.31
oscar.karpe24@example.com,4,9.05
oscar.karpe24@example.com,5,9.07
oscar.karpe24@example.com,6,7.06
oscar.karpe24@example.com,7,9.14
oscar.karpe24@example.com,8,8.26
agastya.suresh25@example.com,1,8.56
agastya.suresh25@example.com,2,9.49
agastya.suresh25@example.com,3,7.22
agastya.suresh25@example.com,4,7.73
agastya.suresh25@example.com,5,6.74
agastya.suresh25@example.com,6,9.83
agastya.suresh25@example.com,7,6.35
agastya.suresh25@example.com,8,9.57
umang.dani26@example.com,1,6.85
umang.dani26@example.com,2,6.24
umang.dani26@example.com,3,9.6
umang.dani26@example.com,4,7.61
umang.dani26@example.com,5,7.6
umang.dani26@example.com,6,8.44
umang.dani26@example.com,7,8.1
umang.dani26@example.com,8,9.54
mohammed.parsa27@example.com,1,9.29
mohammed.parsa27@example.com,2,8.45
mohammed.parsa27@example.com,3,9.57
mohammed.parsa27@example.com,4,8.85
mohammed.parsa27@example.com,5,6.72
mohammed.parsa27@example.com,6,6.74
mohammed.parsa27@example.com,7,8.58
mohammed.parsa27@example.com,8,8.03
vasudha.lalla28@example.com,1,8.97
vasudha.lalla28@example.com,2,6.33
vasudha.lalla28@example.com,3,8.18
vasudha.lalla28@example.com,4,6.41
vasudha.lalla28@example.com,5,6.14
vasudha.lalla28@example.com,6,7.25
vasudha.lalla28@example.com,7,8.05
vasudha.lalla28@example.com,8,7.98
siya.patla29@example.com,1,6.81
siya.patla29@example.com,2,6.64
siya.patla29@example.com,3,7.74
siya.patla29@example.com,4,6.11
siya.patla29@example.com,5,7.4
siya.patla29@example.com,6,8.58
siya.patla29@example.com,7,9.32
siya.patla29@example.com,8,7.28
leela.master30@example.com,1,7.22
leela.master30@example.com,2,6.57
leela.master30@example.com,3,8.99
leela.master30@example.com,4,9.27
leela.master30@example.com,5,8.9
leela.master30@example.com,6,9.31
leela.master30@example.com,7,6.56
leela.master30@example.com,8,9.61
omkaar.vora31@example.com,1,7.07
omkaar.vora31@example.com,2,9.4
omkaar.vora31@example.com,3,9.05
omkaar.vora31@example.com,4,6.97
omkaar.vora31@example.com,5,6.18
omkaar.vora31@example.com,6,9.21
omkaar.vora31@example.com,7,6.46
omkaar.vora31@example.com,8,7.35
manbir.mitra32@example.com,1,7.63
manbir.mitra32@example.com,2,7.97
manbir.mitra32@example.com,3,6.34
manbir.mitra32@example.com,4,7.12
manbir.mitra32@example.com,5,9.37
manbir.mitra32@example.com,6,7.15
manbir.mitra32@example.com,7,8.42
manbir.mitra32@example.com,8,8.97
brijesh.nagy33@example.com,1,6.54
brijesh.nagy33@example.com,2,9.2
brijesh.nagy33@example.com,3,7.92
brijesh.nagy33@example.com,4,6.09
brijesh.nagy33@example.com,5,9.57
brijesh.nagy33@example.com,6,8.02
brijesh.nagy33@example.com,7,6.95
brijesh.nagy33@example.com,8,8.11
akshay.sur34@example.com,1,7.85
akshay.sur34@example.com,2,7.07
akshay.sur34@example.com,3,6.21
akshay.sur34@example.com,4,8.5
akshay.sur34@example.com,5,7.06
akshay.sur34@example.com,6,7.62
akshay.sur34@example.com,7,9.5
akshay.sur34@example.com,8,9.54
ryan.tank35@example.com,1,9.99
ryan.tank35@example.com,2,9.47
ryan.tank35@example.com,3,6.62
ryan.tank35@example.com,4,9.35
ryan.tank35@example.com,5,9.32
ryan.tank35@example.com,6,8.67
ryan.tank35@example.com,7,6.08
ryan.tank35@example.com,8,8.25
geetika.merchant36@example.com,1,7.88
geetika.merchant36@example.com,2,6.04
geetika.merchant36@example.com,3,7.34
geetika.merchant36@example.com,4,7.07
geetika.merchant36@example.com,5,6.45
geetika.merchant36@example.com,6,9.21
geetika.merchant36@example.com,7,6.3
geetika.merchant36@example.com,8,6.52
abhimanyu.gara37@example.com,1,7.99
abhimanyu.gara37@example.com,2,8.15
abhimanyu.gara37@example.com,3,6.32
abhimanyu.gara37@example.com,4,9.67
abhimanyu.gara37@example.com,5,8.13
abhimanyu.gara37@example.com,6,8.16
abhimanyu.gara37@example.com,7,7.05
abhimanyu.gara37@example.com,8,9.11
ubika.gola38@example.com,1,7.81
ubika.gola38@example.com,2,6.63
ubika.gola38@example.com,3,9.77
ubika.gola38@example.com,4,6.26
ubika.gola38@example.com,5,6.28
ubika.gola38@example.com,6,6.16
ubika.gola38@example.com,7,6.98
ubika.gola38@example.com,8,8.57
harrison.dugar39@example.com,1,6.62
harrison.dugar39@example.com,2,9.0
harrison.dugar39@example.com,3,9.58
harrison.dugar39@example.com,4,8.03
harrison.dugar39@example.com,5,8.03
harrison.dugar39@example.com,6,9.94
harrison.dugar39@example.com,7,8.87
harrison.dugar39@example.com,8,8.19
saumya.gour40@example.com,1,8.94
saumya.gour40@example.com,2,7.07
saumya.gour40@example.com,3,7.16
saumya.gour40@example.com,4,8.92
saumya.gour40@example.com,5,7.41
saumya.gour40@example.com,6,8.02
saumya.gour40@example.com,7,8.47
saumya.gour40@example.com,8,6.1
hema.hayre41@example.com,1,7.44
hema.hayre41@example.com,2,8.99
hema.hayre41@example.com,3,9.51
hema.hayre41@example.com,4,6.98
hema.hayre41@example.com,5,6.71
hema.hayre41@example.com,6,6.16
hema.hayre41@example.com,7,7.93
hema.hayre41@example.com,8,8.46
lipika.parsa42@example.com,1,7.53
lipika.parsa42@example.com,2,8.47
lipika.parsa42@example.com,3,6.24
lipika.parsa42@example.com,4,6.01
lipika.parsa42@example.com,5,6.83
lipika.parsa42@example.com,6,9.42
lipika.parsa42@example.com,7,8.13
lipika.parsa42@example.com,8,9.78
aarush.sur43@example.com,1,8.98
aarush.sur43@example.com,2,9.01
aarush.sur43@example.com,3,8.5
aarush.sur43@example.com,4,6.52
aarush.sur43@example.com,5,9.91
aarush.sur43@example.com,6,6.46
aarush.sur43@example.com,7,7.36
aarush.sur43@example.com,8,7.85
baljiwan.goswami44@example.com,1,8.93
baljiwan.goswami44@example.com,2,6.96
baljiwan.goswami44@example.com,3,7.87
baljiwan.goswami44@example.com,4,7.07
baljiwan.goswami44@example.com,5,9.03
baljiwan.goswami44@example.com,6,6.91
baljiwan.goswami44@example.com,7,8.8
baljiwan.goswami44@example.com,8,7.31
vedhika.banik45@example.com,1,7.77
vedhika.banik45@example.com,2,8.21
vedhika.banik45@example.com,3,9.9
vedhika.banik45@example.com,4,6.3
vedhika.banik45@example.com,5,9.65
vedhika.banik45@example.com,6,8.18
vedhika.banik45@example.com,7,6.1
vedhika.banik45@example.com,8,9.88
ayaan.chahal46@example.com,1,7.56
ayaan.chahal46@example.com,2,9.27
ayaan.chahal46@example.com,3,6.09
ayaan.chahal46@example.com,4,7.43
ayaan.chahal46@example.com,5,7.31
ayaan.chahal46@example.com,6,6.46
ayaan.chahal46@example.com,7,9.28
ayaan.chahal46@example.com,8,7.35
hemani.rout47@example.com,1,7.49
hemani.rout47@example.com,2,8.89
hemani.rout47@example.com,3,6.59
hemani.rout47@example.com,4,9.02
hemani.rout47@example.com,5,6.13
hemani.rout47@example.com,6,8.59
hemani.rout47@example.com,7,9.57
hemani.rout47@example.com,8,9.66
michael.dara48@example.com,1,9.65
michael.dara48@example.com,2,8.75
michael.dara48@example.com,3,8.32
michael.dara48@example.com,4,9.59
michael.dara48@example.com,5,6.19
michael.dara48@example.com,6,9.61
michael.dara48@example.com,7,6.46
michael.dara48@example.com,8,7.23
jairaj.rajan49@example.com,1,9.89
jairaj.rajan49@example.com,2,7.85
jairaj.rajan49@example.com,3,7.6
jairaj.rajan49@example.com,4,8.09
jairaj.rajan49@example.com,5,7.08
jairaj.rajan49@example.com,6,6.97
jairaj.rajan49@example.com,7,6.03
jairaj.rajan49@example.com,8,8.63
chanakya.bhardwaj50@example.com,1,7.94
chanakya.bhardwaj50@example.com,2,6.83
chanakya.bhardwaj50@example.com,3,7.14
chanakya.bhardwaj50@example.com,4,8.22
chanakya.bhardwaj50@example.com,5,6.97
chanakya.bhardwaj50@example.com,6,6.14
chanakya.bhardwaj50@example.com,7,9.11
chanakya.bhardwaj50@example.com,8,9.58
ekalinga.contractor51@example.com,1,8.8
ekalinga.contractor51@example.com,2,9.26
ekalinga.contractor51@example.com,3,6.75
ekalinga.contractor51@example.com,4,6.74
ekalinga.contractor51@example.com,5,9.73
ekalinga.contractor51@example.com,6,7.57
ekalinga.contractor51@example.com,7,8.98
ekalinga.contractor51@example.com,8,9.42
ethan.balasubramanian52@example.com,1,9.42
ethan.balasubramanian52@example.com,2,7.17
ethan.balasubramanian52@example.com,3,6.87
ethan.balasubramanian52@example.com,4,6.89
ethan.balasubramanian52@example.com,5,7.6
ethan.balasubramanian52@example.com,6,8.84
ethan.balasubramanian52@example.com,7,9.11
ethan.balasubramanian52@example.com,8,6.36
zayyan.sur53@example.com,1,6.38
zayyan.sur53@example.com,2,7.4
zayyan.sur53@example.com,3,9.3
zayyan.sur53@example.com,4,7.57
zayyan.sur53@example.com,5,8.61
zayyan.sur53@example.com,6,9.02
zayyan.sur53@example.com,7,8.63
zayyan.sur53@example.com,8,6.59
pallavi.prabhakar54@example.com,1,7.62
pallavi.prabhakar54@example.com,2,7.87
pallavi.prabhakar54@example.com,3,9.46
pallavi.prabhakar54@example.com,4,6.27
pallavi.prabhakar54@example.com,5,9.39
pallavi.prabhakar54@example.com,6,8.02
pallavi.prabhakar54@example.com,7,9.76
pallavi.prabhakar54@example.com,8,6.47
wazir.deshpande55@example.com,1,7.1
wazir.deshpande55@example.com,2,6.07
wazir.deshpande55@example.com,3,9.89
wazir.deshpande55@example.com,4,9.69
wazir.deshpande55@example.com,5,9.87
wazir.deshpande55@example.com,6,8.56
wazir.deshpande55@example.com,7,7.29
wazir.deshpande55@example.com,8,8.94
ojas.mannan56@example.com,1,9.66
ojas.mannan56@example.com,2,6.84
ojas.mannan56@example.com,3,9.36
ojas.mannan56@example.com,4,7.0
ojas.mannan56@example.com,5,8.93
ojas.mannan56@example.com,6,9.36
ojas.mannan56@example.com,7,9.84
ojas.mannan56@example.com,8,9.92
indali.dave57@example.com,1,6.93
indali.dave57@example.com,2,8.99
indali.dave57@example.com,3,8.32
indali.dave57@example.com,4,8.19
indali.dave57@example.com,5,7.54
indali.dave57@example.com,6,9.88
indali.dave57@example.com,7,9.05
indali.dave57@example.com,8,8.52
amara.sarin58@example.com,1,8.16
amara.sarin58@example.com,2,9.77
amara.sarin58@example.com,3,9.79
amara.sarin58@example.com,4,6.76
amara.sarin58@example.com,5,9.46
amara.sarin58@example.com,6,8.7
amara.sarin58@example.com,7,9.07
amara.sarin58@example.com,8,7.12
hardik.kota59@example.com,1,8.89
hardik.kota59@example.com,2,9.95
hardik.kota59@example.com,3,7.05
hardik.kota59@example.com,4,6.19
hardik.kota59@example.com,5,6.99
hardik.kota59@example.com,6,6.09
hardik.kota59@example.com,7,8.74
hardik.kota59@example.com,8,7.29
onkar.bhavsar60@example.com,1,6.0
onkar.bhavsar60@example.com,2,9.33
onkar.bhavsar60@example.com,3,7.36
onkar.bhavsar60@example.com,4,8.5
onkar.bhavsar60@example.com,5,9.05
onkar.bhavsar60@example.com,6,6.52
onkar.bhavsar60@example.com,7,6.76
onkar.bhavsar60@example.com,8,7.46
siddharth.barad61@example.com,1,7.99
siddharth.barad61@example.com,2,9.03
siddharth.barad61@example.com,3,6.87
siddharth.barad61@example.com,4,9.17
siddharth.barad61@example.com,5,8.23
siddharth.barad61@example.com,6,7.22
siddharth.barad61@example.com,7,8.12
siddharth.barad61@example.com,8,9.19
bhavika.radhakrishnan62@example.com,1,7.31
bhavika.radhakrishnan62@example.com,2,6.17
bhavika.radhakrishnan62@example.com,3,9.55
bhavika.radhakrishnan62@example.com,4,7.49
bhavika.radhakrishnan62@example.com,5,8.87
bhavika.radhakrishnan62@example.com,6,8.43
bhavika.radhakrishnan62@example.com,7,6.26
bhavika.radhakrishnan62@example.com,8,9.59
ethan.gala63@example.com,1,7.6
ethan.gala63@example.com,2,9.13
ethan.gala63@example.com,3,6.64
ethan.gala63@example.com,4,9.83
ethan.gala63@example.com,5,7.23
ethan.gala63@example.com,6,9.7
ethan.gala63@example.com,7,7.02
ethan.gala63@example.com,8,9.89
bimala.suresh64@example.com,1,9.66
bimala.suresh64@example.com,2,9.44
bimala.suresh64@example.com,3,9.66
bimala.suresh64@example.com,4,6.47
bimala.suresh64@example.com,5,6.81
bimala.suresh64@example.com,6,6.22
bimala.suresh64@example.com,7,9.41
bimala.suresh64@example.com,8,6.1
chanchal.manda65@example.com,1,6.56
chanchal.manda65@example.com,2,8.31
chanchal.manda65@example.com,3,7.02
chanchal.manda65@example.com,4,8.65
chanchal.manda65@example.com,5,9.67
chanchal.manda65@example.com,6,8.27
chanchal.manda65@example.com,7,7.11
chanchal.manda65@example.com,8,9.02
gaurangi.banerjee66@example.com,1,6.39
gaurangi.banerjee66@example.com,2,8.55
gaurangi.banerjee66@example.com,3,6.16
gaurangi.banerjee66@example.com,4,7.66
gaurangi.banerjee66@example.com,5,8.0
gaurangi.banerjee66@example.com,6,6.55
gaurangi.banerjee66@example.com,7,6.77
gaurangi.banerjee66@example.com,8,6.07
aashi.nayak67@example.com,1,6.52
aashi.nayak67@example.com,2,8.32
aashi.nayak67@example.com,3,6.48
aashi.nayak67@example.com,4,6.41
aashi.nayak67@example.com,5,8.4
aashi.nayak67@example.com,6,8.97
aashi.nayak67@example.com,7,9.74
aashi.nayak67@example.com,8,9.51
eta.mander68@example.com,1,8.89
eta.mander68@example.com,2,7.43
eta.mander68@example.com,3,7.06
eta.mander68@example.com,4,9.79
eta.mander68@example.com,5,9.72
eta.mander68@example.com,6,7.44
eta.mander68@example.com,7,7.3
eta.mander68@example.com,8,8.81
ayush.jani69@example.com,1,9.75
ayush.jani69@example.com,2,7.41
ayush.jani69@example.com,3,9.87
ayush.jani69@example.com,4,7.28
ayush.jani69@example.com,5,9.61
ayush.jani69@example.com,6,7.63
ayush.jani69@example.com,7,8.25
ayush.jani69@example.com,8,6.98
chavvi.kade70@example.com,1,9.4
chavvi.kade70@example.com,2,8.98
chavvi.kade70@example.com,3,8.41
chavvi.kade70@example.com,4,6.06
chavvi.kade70@example.com,5,7.16
chavvi.kade70@example.com,6,9.59
chavvi.kade70@example.com,7,8.13
chavvi.kade70@example.com,8,7.44
veda.brar71@example.com,1,8.35
veda.brar71@example.com,2,8.29
veda.brar71@example.com,3,9.78
veda.brar71@example.com,4,9.94
veda.brar71@example.com,5,6.21
veda.brar71@example.com,6,8.66
veda.brar71@example.com,7,8.07
veda.brar71@example.com,8,9.38
arjun.bandi72@example.com,1,7.21
arjun.bandi72@example.com,2,9.84
arjun.bandi72@example.com,3,7.59
arjun.bandi72@example.com,4,6.24
arjun.bandi72@example.com,5,8.92
arjun.bandi72@example.com,6,8.48
arjun.bandi72@example.com,7,6.35
arjun.bandi72@example.com,8,6.42
varenya.prabhakar73@example.com,1,9.19
varenya.prabhakar73@example.com,2,9.09
varenya.prabhakar73@example.com,3,6.68
varenya.prabhakar73@example.com,4,6.98
varenya.prabhakar73@example.com,5,8.87
varenya.prabhakar73@example.com,6,8.72
varenya.prabhakar73@example.com,7,6.85
varenya.prabhakar73@example.com,8,8.32
tanish.kaul74@example.com,1,6.87
tanish.kaul74@example.com,2,8.15
tanish.kaul74@example.com,3,6.63
tanish.kaul74@example.com,4,7.4
tanish.kaul74@example.com,5,7.77
tanish.kaul74@example.com,6,8.06
tanish.kaul74@example.com,7,8.99
tanish.kaul74@example.com,8,9.74
tamanna.bhat75@example.com,1,9.07
tamanna.bhat75@example.com,2,8.06
tamanna.bhat75@example.com,3,9.25
tamanna.bhat75@example.com,4,9.82
tamanna.bhat75@example.com,5,7.23
tamanna.bhat75@example.com,6,8.61
tamanna.bhat75@example.com,7,8.82
tamanna.bhat75@example.com,8,7.28
chameli.parmer76@example.com,1,6.86
chameli.parmer76@example.com,2,6.31
chameli.parmer76@example.com,3,9.75
chameli.parmer76@example.com,4,9.23
chameli.parmer76@example.com,5,7.64
chameli.parmer76@example.com,6,8.54
chameli.parmer76@example.com,7,7.74
chameli.parmer76@example.com,8,7.48
ganga.bava77@example.com,1,6.57
ganga.bava77@example.com,2,7.29
ganga.bava77@example.com,3,9.57
ganga.bava77@example.com,4,7.65
ganga.bava77@example.com,5,8.03
ganga.bava77@example.com,6,8.88
ganga.bava77@example.com,7,9.51
ganga.bava77@example.com,8,7.42
balendra.raman78@example.com,1,9.45
balendra.raman78@example.com,2,6.28
balendra.raman78@example.com,3,9.17
balendra.raman78@example.com,4,7.62
balendra.raman78@example.com,5,7.54
balendra.raman78@example.com,6,6.09
balendra.raman78@example.com,7,6.36
balendra.raman78@example.com,8,6.27
rehaan.khurana79@example.com,1,6.33
rehaan.khurana79@example.com,2,8.36
rehaan.khurana79@example.com,3,9.64
rehaan.khurana79@example.com,4,7.41
rehaan.khurana79@example.com,5,9.74
rehaan.khurana79@example.com,6,8.95
rehaan.khurana79@example.com,7,8.6
rehaan.khurana79@example.com,8,6.57
darika.taneja80@example.com,1,8.74
darika.taneja80@example.com,2,9.69
darika.taneja80@example.com,3,7.48
darika.taneja80@example.com,4,6.69
darika.taneja80@example.com,5,6.17
darika.taneja80@example.com,6,9.33
darika.taneja80@example.com,7,8.67
darika.taneja80@example.com,8,7.71
timothy.kala81@example.com,1,6.59
timothy.kala81@example.com,2,7.79
timothy.kala81@example.com,3,7.43
timothy.kala81@example.com,4,9.54
timothy.kala81@example.com,5,8.14
timothy.kala81@example.com,6,8.93
timothy.kala81@example.com,7,6.38
timothy.kala81@example.com,8,9.7
vinaya.wason82@example.com,1,7.63
vinaya.wason82@example.com,2,6.09
vinaya.wason82@example.com,3,7.31
vinaya.wason82@example.com,4,6.16
vinaya.wason82@example.com,5,7.22
vinaya.wason82@example.com,6,6.04
vinaya.wason82@example.com,7,6.39
vinaya.wason82@example.com,8,8.27
turvi.borde83@example.com,1,8.54
turvi.borde83@example.com,2,6.73
turvi.borde83@example.com,3,8.13
turvi.borde83@example.com,4,8.06
turvi.borde83@example.com,5,9.85
turvi.borde83@example.com,6,9.69
turvi.borde83@example.com,7,6.52
turvi.borde83@example.com,8,7.75
henry.gopal84@example.com,1,8.65
henry.gopal84@example.com,2,9.25
henry.gopal84@example.com,3,9.69
henry.gopal84@example.com,4,7.78
henry.gopal84@example.com,5,9.69
henry.gopal84@example.com,6,7.27
henry.gopal84@example.com,7,7.67
henry.gopal84@example.com,8,7.02
sai.prabhu85@example.com,1,8.15
sai.prabhu85@example.com,2,6.19
sai.prabhu85@example.com,3,9.12
sai.prabhu85@example.com,4,6.51
sai.prabhu85@example.com,5,7.36
sai.prabhu85@example.com,6,8.77
sai.prabhu85@example.com,7,8.54
sai.prabhu85@example.com,8,8.49
victor.upadhyay86@example.com,1,8.93
victor.upadhyay86@example.com,2,7.7
victor.upadhyay86@example.com,3,8.22
victor.upadhyay86@example.com,4,6.72
victor.upadhyay86@example.com,5,7.71
victor.upadhyay86@example.com,6,6.16
victor.upadhyay86@example.com,7,6.31
victor.upadhyay86@example.com,8,7.55
falan.dalal87@example.com,1,9.77
falan.dalal87@example.com,2,8.66
falan.dalal87@example.com,3,6.92
falan.dalal87@example.com,4,6.24
falan.dalal87@example.com,5,9.5
falan.dalal87@example.com,6,7.43
falan.dalal87@example.com,7,7.16
falan.dalal87@example.com,8,7.64
neelima.datta88@example.com,1,7.92
neelima.datta88@example.com,2,7.61
neelima.datta88@example.com,3,9.84
neelima.datta88@example.com,4,7.04
neelima.datta88@example.com,5,9.23
neelima.datta88@example.com,6,9.03
neelima.datta88@example.com,7,8.05
neelima.datta88@example.com,8,9.02
oeshi.pathak89@example.com,1,7.98
oeshi.pathak89@example.com,2,8.29
oeshi.pathak89@example.com,3,7.65
oeshi.pathak89@example.com,4,8.65
oeshi.pathak89@example.com,5,6.44
oeshi.pathak89@example.com,6,9.28
oeshi.pathak89@example.com,7,6.16
oeshi.pathak89@example.com,8,9.14
chanchal.dora90@example.com,1,6.83
chanchal.dora90@example.com,2,9.23
chanchal.dora90@example.com,3,7.86
chanchal.dora90@example.com,4,8.74
chanchal.dora90@example.com,5,7.94
chanchal.dora90@example.com,6,6.65
chanchal.dora90@example.com,7,9.94
chanchal.dora90@example.com,8,6.01
finn.master91@example.com,1,7.76
finn.master91@example.com,2,8.2
finn.master91@example.com,3,7.38
finn.master91@example.com,4,7.5
