student_email,job_id,technical_score
logan.johal196@example.com,3,46
mitali.handa197@example.com,3,88
benjamin.konda198@example.com,4,41
bakhshi.lad199@example.com,3,44
jagat.vyas200@example.com,1,50
vedhika.singh201@example.com,2,57
dakshesh.deshmukh202@example.com,5,66
gaurika.borde203@example.com,3,41
balhaar.kohli204@example.com,2,57
jyoti.kapadia205@example.com,5,93
ronith.sen206@example.com,5,71
wahab.shroff207@example.com,2,73
kala.shenoy208@example.com,1,83
jalsa.chatterjee209@example.com,2,72
jasmit.roy210@example.com,2,46
aahana.misra211@example.com,5,57
priya.vala212@example.com,2,62
suhani.goswami213@example.com,2,100
faras.pal214@example.com,3,60
jonathan.balay215@example.com,1,75
chatura.nagar216@example.com,2,77
zarna.contractor217@example.com,5,47
damyanti.keer218@example.com,4,67
irya.walia219@example.com,5,84
patrick.subramaniam220@example.com,5,44
vrinda.vaidya221@example.com,5,61
elijah.handa222@example.com,2,95
benjamin.pandit223@example.com,3,62
balvan.kannan224@example.com,5,84
kevin.bhandari225@example.com,5,45
dhriti.nayar226@example.com,5,52
arunima.bajwa227@example.com,3,58
omaja.tella228@example.com,2,70
charita.gara229@example.com,5,69
upma.kumar230@example.com,5,83
ojasvi.aggarwal231@example.com,4,89
dalbir.ram232@example.com,5,44
raagini.mitra233@example.com,2,51
inaya.bumb234@example.com,4,66
pratyush.batra235@example.com,4,88
chasmum.sengupta236@example.com,1,97
janani.chatterjee237@example.com,5,66
pavani.lata238@example.com,4,69
omkaar.bawa239@example.com,5,48
deepa.palla240@example.com,5,100
tamanna.walia241@example.com,2,95
rachita.mangal242@example.com,3,49
urvi.bath243@example.com,2,52
charvi.mand244@example.com,4,67
omya.chaudhry245@example.com,2,52
caleb.loyal246@example.com,2,79
samesh.kala247@example.com,1,67
krish.bains248@example.com,3,77
ijaya.gala249@example.com,2,99
rishi.radhakrishnan250@example.com,2,94
pooja.natt251@example.com,1,74
vanya.ranganathan252@example.com,1,60
zinal.hayer253@example.com,3,56
om.salvi254@example.com,5,52
luke.chakrabarti255@example.com,3,86
chatresh.nigam256@example.com,5,94
vincent.chada257@example.com,4,63
ekiya.singhal258@example.com,4,98
timothy.sibal259@example.com,3,68
kashish.ghosh260@example.com,5,42
alexander.rastogi261@example.com,4,54
adweta.choudhry262@example.com,5,90
devika.chana263@example.com,2,60
harsh.shanker264@example.com,5,100
alka.date265@example.com,5,79
samesh.natt266@example.com,4,65
yashoda.nagi267@example.com,1,70
michael.keer268@example.com,2,55
jeremiah.batta269@example.com,4,83
yashoda.dugar270@example.com,5,87
william.rastogi271@example.com,5,94
yamini.grover272@example.com,1,91
barkha.kohli273@example.com,2,52
ekbal.pradhan274@example.com,1,72
upma.borah275@example.com,4,94
banjeet.kara276@example.com,1,74
deepa.dhillon277@example.com,5,69
sai.mall278@example.com,1,70
shivani.lata279@example.com,2,42
madhav.master280@example.com,5,83
jagvi.gole281@example.com,5,50
vihaan.subramanian282@example.com,3,97
vincent.comar283@example.com,1,96
suhani.vyas284@example.com,5,95
vritti.raja285@example.com,1,86
ekta.badami286@example.com,3,68
samar.sha287@example.com,5,81
varsha.ben288@example.com,2,77
jack.barman289@example.com,2,58
bimala.om290@example.com,1,65
yashawini.ben291@example.com,3,67
saumya.dar292@example.com,5,43
harsh.keer293@example.com,1,90
krishna.sur294@example.com,5,91
mohini.ratti295@example.com,1,47
hema.karan296@example.com,2,47
rachita.saha297@example.com,3,89
peter.raja298@example.com,3,75
devansh.kade299@example.com,3,69
rajeshri.gopal300@example.com,3,96
nikita.seth301@example.com,3,74
reyansh.narang302@example.com,3,46
advay.peri303@example.com,5,77
gauri.luthra304@example.com,3,69
pratyush.d’alia305@example.com,2,86
pooja.pillay306@example.com,5,46
kamya.sawhney307@example.com,1,79
indali.talwar308@example.com,3,51
oeshi.modi309@example.com,1,78
gautam.rastogi310@example.com,3,87
abhimanyu.subramaniam311@example.com,2,65
vamakshi.mand312@example.com,3,44
vamakshi.toor313@example.com,2,95
praneel.deshpande314@example.com,5,71
raksha.mahal315@example.com,3,87
mekhala.bala316@example.com,1,80
ekalinga.bir317@example.com,4,82
jacob.madan318@example.com,2,67
isha.suri319@example.com,2,75
jagat.muni320@example.com,4,93
ranveer.bakshi321@example.com,2,88
ridhi.bora322@example.com,2,53
jagdish.lalla323@example.com,5,88
hredhaan.dhar324@example.com,2,86
gaurika.aggarwal325@example.com,2,50
jagvi.nigam326@example.com,3,84
sneha.kunda327@example.com,3,72
zehaan.dutta328@example.com,1,59
girish.murty329@example.com,2,83
rajata.pau330@example.com,2,60
saksham.deol331@example.com,1,78
logan.keer332@example.com,5,81
harshil.chadha333@example.com,1,66
mugdha.tank334@example.com,2,72
vasana.bail335@example.com,5,71
chaitanya.pandey336@example.com,3,79
sneha.chada337@example.com,5,65
suhani.pai338@example.com,2,45
bhanumati.din339@example.com,3,64
joshua.bhat340@example.com,5,78
zayyan.narula341@example.com,2,79
chameli.warrior342@example.com,4,77
aarav.bose343@example.com,2,73
bhavya.kuruvilla344@example.com,3,68
ishani.sahota345@example.com,3,53
bhanumati.halder346@example.com,2,96
gauri.gupta347@example.com,1,58
lucky.nigam348@example.com,4,61
tanmayi.sandhu349@example.com,1,40
dayamai.arya350@example.com,2,89
keya.jha351@example.com,5,71
vincent.sundaram352@example.com,5,76
alexander.gola353@example.com,2,80
shaurya.verma354@example.com,2,100
vansha.sami355@example.com,4,59
siddharth.nair356@example.com,1,99
bhavna.mohanty357@example.com,2,86
bhavini.acharya358@example.com,3,62
harinakshi.das359@example.com,4,53
anvi.raju360@example.com,5,90
garima.mand361@example.com,1,58
sachi.kalla362@example.com,3,97
tanay.bhargava363@example.com,5,85
aadi.kunda364@example.com,1,87
jonathan.nadig365@example.com,3,73
jonathan.manne366@example.com,2,86
anmol.date367@example.com,3,75
yug.deo368@example.com,4,80
adya.anand369@example.com,3,80
vritti.krishnan370@example.com,4,60
gaurav.bava371@example.com,5,98
rajata.chakraborty372@example.com,4,92
nirja.bakshi373@example.com,3,74
orinder.chana374@example.com,1,62
anirudh.kanda375@example.com,2,77
ishita.prasad376@example.com,2,93
hemang.varty377@example.com,2,73
aarini.hayre378@example.com,2,71
eiravati.doctor379@example.com,3,40
charita.bhagat380@example.com,1,100
vrinda.sabharwal381@example.com,4,88
libni.rai382@example.com,5,52
meera.bhatnagar383@example.com,4,41
chakradhar.sheth384@example.com,4,98
hemani.bhatnagar385@example.com,3,85
nimrat.mutti386@example.com,3,87
osha.lalla387@example.com,2,66
amara.keer388@example.com,4,76
falak.hegde389@example.com,2,97
chakradev.sarma390@example.com,3,44
isaac.biswas391@example.com,1,86
nilima.luthra392@example.com,2,73
nidhi.dora393@example.com,1,74
qasim.shankar394@example.com,3,90
yamini.soman395@example.com,5,94
utkarsh.goel396@example.com,3,62
ekaraj.deo397@example.com,5,68
vyanjana.goyal398@example.com,3,50
kritika.dubey399@example.com,4,43
kashish.lata400@example.com,2,91
ayushman.majumdar401@example.com,5,69
jairaj.bhatti402@example.com,3,49
qushi.chhabra403@example.com,3,54
avi.sahni404@example.com,2,65
yuvraj.sabharwal405@example.com,1,84
om.anne406@example.com,5,49
warjas.ranganathan407@example.com,3,61
maya.contractor408@example.com,2,65
eesha.ben409@example.com,5,62
varsha.golla410@example.com,3,40
yashoda.kota411@example.com,3,51
advay.tank412@example.com,5,66
meghana.batra413@example.com,3,81
mahika.krish414@example.com,3,61
onveer.varty415@example.com,3,49
ganga.patla416@example.com,4,42
harrison.din417@example.com,3,59
yahvi.dyal418@example.com,1,72
manbir.chana419@example.com,2,60
vivaan.mitter420@example.com,5,66
max.more421@example.com,3,85
yahvi.raju422@example.com,2,89
keya.dave423@example.com,5,66
nidra.prakash424@example.com,2,73
meera.natarajan425@example.com,4,63
chanakya.sodhi426@example.com,2,53
falak.upadhyay427@example.com,3,40
arya.saini428@example.com,1,58
dalbir.viswanathan429@example.com,1,44
rudra.pandya430@example.com,3,64
vedhika.pant431@example.com,2,93
nidhi.krishna432@example.com,5,88
darika.malhotra433@example.com,5,89
kiaan.venkatesh434@example.com,3,78
avi.palan435@example.com,4,78
vaishnavi.deshpande436@example.com,2,50
jagdish.shan437@example.com,3,84
dakshesh.dhingra438@example.com,1,41
aadhya.thakur439@example.com,2,68
anvi.shukla440@example.com,4,41
hema.prashad441@example.com,4,40
chasmum.lanka442@example.com,1,76
samarth.sethi443@example.com,1,47
lakshmi.banik444@example.com,1,100
harini.prabhakar445@example.com,4,85
yamini.manne446@example.com,3,88
ansh.behl447@example.com,4,75
liam.gupta448@example.com,3,59
leela.mohan449@example.com,3,93
pahal.andra450@example.com,5,97
darsh.aggarwal451@example.com,2,99
siya.gaba452@example.com,3,100
shivansh.sathe453@example.com,2,40
daksha.sane454@example.com,2,46
upasna.minhas455@example.com,3,50
sanya.mutti456@example.com,5,99
rudra.deol457@example.com,3,85
osha.soni458@example.com,5,80
manthan.dasgupta459@example.com,4,95
dalaja.ahuja460@example.com,2,45
inaya.vora461@example.com,3,96
jagdish.radhakrishnan462@example.com,5,68
anya.kashyap463@example.com,2,82
anvi.bajaj464@example.com,3,80
vedika.trivedi465@example.com,5,96
harrison.mandal466@example.com,3,92
matthew.raman467@example.com,4,90
urvashi.kibe468@example.com,4,78
jhalak.sankaran469@example.com,2,47
gagan.babu470@example.com,5,65
qadim.banerjee471@example.com,5,83
jackson.narayanan472@example.com,3,51
aradhana.dhar473@example.com,1,52
qadim.bath474@example.com,2,64
chandani.hayer475@example.com,5,92
aadhya.gopal476@example.com,3,98
dipta.mander477@example.com,1,47
ekapad.radhakrishnan478@example.com,1,44
arunima.sankar479@example.com,3,50
yutika.sandhu480@example.com,2,64
ekapad.ramachandran481@example.com,4,68
abha.talwar482@example.com,4,67
warda.mohanty483@example.com,3,40
ikshita.bir484@example.com,4,93
fitan.palla485@example.com,2,88
mugdha.ramachandran486@example.com,3,69
arya.sunder487@example.com,4,45
abha.grover488@example.com,4,90
noah.agate489@example.com,5,94
kamya.gour490@example.com,2,93
vivaan.shanker491@example.com,4,86
vritti.de492@example.com,5,80
mohini.bal493@example.com,3,69
akshay.pandey494@example.com,4,50
amrita.anne495@example.com,5,45
aradhana.more496@example.com,5,52
sanya.ram497@example.com,5,80
hemang.goyal498@example.com,1,93
fariq.nayak499@example.com,3,66
