student_email,technical,hr,communication
divya.salvi134@example.com,62,52,84
farhan.comar135@example.com,68,54,54
lajita.minhas136@example.com,52,40,100
widisha.gole137@example.com,92,94,61
rehaan.padmanabhan138@example.com,80,72,64
eta.magar139@example.com,78,93,80
sanaya.khurana140@example.com,79,94,100
panini.parmar141@example.com,73,46,94
vaishnavi.kala142@example.com,54,42,92
bhavini.nagy143@example.com,74,79,95
bhavika.banik144@example.com,56,87,66
xalak.madan145@example.com,47,68,58
gayathri.bose146@example.com,75,69,87
dipta.khanna147@example.com,81,87,70
nilima.merchant148@example.com,68,94,84
viraj.sama149@example.com,81,46,51
chaitanya.basu150@example.com,100,43,96
ojasvi.dugar151@example.com,49,99,63
champak.padmanabhan152@example.com,72,98,86
vihaan.balay153@example.com,98,68,52
darpan.mutti154@example.com,76,89,62
zinal.trivedi155@example.com,83,81,72
lakshit.kadakia156@example.com,56,78,44
yauvani.chaudhry157@example.com,59,88,40
aarna.patla158@example.com,100,50,58
keya.natarajan159@example.com,49,91,63
forum.bala160@example.com,84,53,48
wahab.murthy161@example.com,97,57,60
aadi.warrior162@example.com,69,90,82
kashvi.rastogi163@example.com,58,81,68
azaan.issac164@example.com,74,52,95
ganga.das165@example.com,50,87,87
nisha.thakur166@example.com,49,82,85
eesha.kalla167@example.com,73,75,59
ekansh.comar168@example.com,60,86,69
shivansh.bains169@example.com,43,77,58
tejas.wason170@example.com,77,88,80
maya.sengupta171@example.com,96,48,70
falan.malhotra172@example.com,81,81,56
pahal.raju173@example.com,45,91,79
balveer.jani174@example.com,81,72,49
ayaan.kapoor175@example.com,59,88,67
kritika.pall176@example.com,51,47,65
lipika.bahri177@example.com,43,97,58
xiti.sami178@example.com,59,82,64
kashvi.kaur179@example.com,69,41,77
rachita.sengupta180@example.com,49,74,78
hritik.ben181@example.com,92,59,40
balvan.sheth182@example.com,89,52,42
balhaar.bala183@example.com,78,67,41
guneet.cherian184@example.com,50,70,77
parth.mani185@example.com,70,68,90
raksha.raju186@example.com,75,87,52
shivansh.kara187@example.com,73,45,49
vrinda.kapoor188@example.com,76,55,41
pavani.tak189@example.com,53,91,87
zarna.rege190@example.com,43,68,60
anjali.prasad191@example.com,71,59,48
advay.bath192@example.com,48,85,55
ojasvi.bumb193@example.com,43,48,51
nitara.misra194@example.com,65,63,100
onveer.ray195@example.com,57,66,49
logan.johal196@example.com,51,47,87
mitali.handa197@example.com,62,58,73
benjamin.konda198@example.com,45,98,50
bakhshi.lad199@example.com,45,59,81
jagat.vyas200@example.com,73,40,62
vedhika.singh201@example.com,53,95,60
dakshesh.deshmukh202@example.com,79,88,93
gaurika.borde203@example.com,55,100,87
balhaar.kohli204@example.com,74,57,100
jyoti.kapadia205@example.com,83,64,85
ronith.sen206@example.com,72,66,72
wahab.shroff207@example.com,95,65,52
kala.shenoy208@example.com,66,86,45
jalsa.chatterjee209@example.com,46,43,41
jasmit.roy210@example.com,62,43,68
aahana.misra211@example.com,64,58,46
priya.vala212@example.com,63,68,91
suhani.goswami213@example.com,40,86,41
faras.pal214@example.com,73,48,62
jonathan.balay215@example.com,85,74,68
chatura.nagar216@example.com,69,99,46
zarna.contractor217@example.com,93,68,89
damyanti.keer218@example.com,59,72,83
irya.walia219@example.com,65,76,98
patrick.subramaniam220@example.com,42,56,75
vrinda.vaidya221@example.com,80,64,78
elijah.handa222@example.com,76,51,62
benjamin.pandit223@example.com,41,86,62
balvan.kannan224@example.com,74,84,63
kevin.bhandari225@example.com,92,42,79
dhriti.nayar226@example.com,47,42,92
arunima.bajwa227@example.com,82,43,76
omaja.tella228@example.com,47,54,47
charita.gara229@example.com,48,48,93
upma.kumar230@example.com,80,98,94
ojasvi.aggarwal231@example.com,47,88,88
dalbir.ram232@example.com,70,94,56
raagini.mitra233@example.com,99,91,76
inaya.bumb234@example.com,89,88,89
pratyush.batra235@example.com,64,54,53
chasmum.sengupta236@example.com,90,81,42
janani.chatterjee237@example.com,63,61,66
pavani.lata238@example.com,89,95,46
omkaar.bawa239@example.com,59,41,84
deepa.palla240@example.com,57,59,72
tamanna.walia241@example.com,74,40,77
rachita.mangal242@example.com,65,72,46
urvi.bath243@example.com,45,58,51
charvi.mand244@example.com,93,96,69
omya.chaudhry245@example.com,86,74,93
caleb.loyal246@example.com,48,42,46
samesh.kala247@example.com,61,56,96
krish.bains248@example.com,46,64,84
ijaya.gala249@example.com,57,84,72
rishi.radhakrishnan250@example.com,50,97,46
pooja.natt251@example.com,49,96,84
vanya.ranganathan252@example.com,85,50,57
zinal.hayer253@example.com,69,83,62
om.salvi254@example.com,77,58,86
luke.chakrabarti255@example.com,52,47,70
chatresh.nigam256@example.com,59,55,62
vincent.chada257@example.com,84,47,98
ekiya.singhal258@example.com,67,49,100
timothy.sibal259@example.com,87,71,54
kashish.ghosh260@example.com,56,63,89
alexander.rastogi261@example.com,80,49,97
adweta.choudhry262@example.com,50,80,72
devika.chana263@example.com,87,78,98
harsh.shanker264@example.com,46,100,54
alka.date265@example.com,44,54,96
samesh.natt266@example.com,58,63,57
yashoda.nagi267@example.com,40,56,91
michael.keer268@example.com,95,93,52
jeremiah.batta269@example.com,90,50,51
yashoda.dugar270@example.com,50,74,45
william.rastogi271@example.com,44,51,49
yamini.grover272@example.com,55,56,49
barkha.kohli273@example.com,67,71,45
ekbal.pradhan274@example.com,67,65,43
upma.borah275@example.com,41,56,68
banjeet.kara276@example.com,84,78,100
deepa.dhillon277@example.com,79,53,71
sai.mall278@example.com,67,46,89
shivani.lata279@example.com,94,79,92
madhav.master280@example.com,69,41,93
jagvi.gole281@example.com,56,63,55
vihaan.subramanian282@example.com,73,63,45
vincent.comar283@example.com,78,52,92
suhani.vyas284@example.com,58,63,45
vritti.raja285@example.com,60,66,45
ekta.badami286@example.com,82,84,80
samar.sha287@example.com,82,62,76
varsha.ben288@example.com,74,83,79
jack.barman289@example.com,94,60,89
bimala.om290@example.com,46,78,64
yashawini.ben291@example.com,70,49,67
saumya.dar292@example.com,70,49,91
harsh.keer293@example.com,41,59,95
krishna.sur294@example.com,98,56,58
mohini.ratti295@example.com,58,85,97
hema.karan296@example.com,55,51,99
rachita.saha297@example.com,47,48,49
peter.raja298@example.com,50,50,87
devansh.kade299@example.com,45,91,40
rajeshri.gopal300@example.com,48,87,49
nikita.seth301@example.com,43,79,52
reyansh.narang302@example.com,62,41,91
advay.peri303@example.com,55,72,98
gauri.luthra304@example.com,46,69,67
pratyush.d’alia305@example.com,62,64,53
pooja.pillay306@example.com,53,89,69
kamya.sawhney307@example.com,55,63,67
indali.talwar308@example.com,88,51,79
oeshi.modi309@example.com,40,86,52
gautam.rastogi310@example.com,57,81,71
abhimanyu.subramaniam311@example.com,59,86,55
vamakshi.mand312@example.com,50,97,92
vamakshi.toor313@example.com,73,94,70
praneel.deshpande314@example.com,87,41,94
raksha.mahal315@example.com,41,48,52
mekhala.bala316@example.com,57,66,87
ekalinga.bir317@example.com,64,45,91
jacob.madan318@example.com,60,82,41
isha.suri319@example.com,60,76,61
jagat.muni320@example.com,82,70,53
ranveer.bakshi321@example.com,97,75,78
ridhi.bora322@example.com,87,49,60
jagdish.lalla323@example.com,40,43,64
hredhaan.dhar324@example.com,84,100,90
gaurika.aggarwal325@example.com,100,58,93
jagvi.nigam326@example.com,99,64,86
sneha.kunda327@example.com,88,60,86
zehaan.dutta328@example.com,75,89,58
girish.murty329@example.com,93,47,81
rajata.pau330@example.com,79,42,45
saksham.deol331@example.com,68,40,74
logan.keer332@example.com,44,89,58
harshil.chadha333@example.com,94,45,63
mugdha.tank334@example.com,86,80,77
vasana.bail335@example.com,95,89,90
chaitanya.pandey336@example.com,79,91,47
sneha.chada337@example.com,44,40,64
suhani.pai338@example.com,50,60,52
bhanumati.din339@example.com,66,84,85
joshua.bhat340@example.com,70,47,68
zayyan.narula341@example.com,47,56,44
chameli.warrior342@example.com,84,80,75
aarav.bose343@example.com,47,100,56
bhavya.kuruvilla344@example.com,84,74,76
ishani.sahota345@example.com,41,68,65
bhanumati.halder346@example.com,51,62,45
gauri.gupta347@example.com,83,40,91
lucky.nigam348@example.com,53,96,47
tanmayi.sandhu349@example.com,82,91,42
dayamai.arya350@example.com,56,42,49
keya.jha351@example.com,41,56,50
vincent.sundaram352@example.com,92,44,51
alexander.gola353@example.com,79,45,95
shaurya.verma354@example.com,77,62,64
vansha.sami355@example.com,53,64,61
siddharth.nair356@example.com,53,57,41
bhavna.mohanty357@example.com,50,62,100
bhavini.acharya358@example.com,61,62,80
harinakshi.das359@example.com,53,47,78
anvi.raju360@example.com,48,51,78
garima.mand361@example.com,97,55,71
sachi.kalla362@example.com,56,43,78
tanay.bhargava363@example.com,51,68,47
aadi.kunda364@example.com,80,93,54
jonathan.nadig365@example.com,91,83,48
jonathan.manne366@example.com,79,51,52
anmol.date367@example.com,68,60,63
yug.deo368@example.com,72,51,90
adya.anand369@example.com,53,58,61
vritti.krishnan370@example.com,48,92,44
gaurav.bava371@example.com,56,52,65
rajata.chakraborty372@example.com,94,59,97
nirja.bakshi373@example.com,99,84,69
orinder.chana374@example.com,54,67,72
anirudh.kanda375@example.com,85,58,53
ishita.prasad376@example.com,92,62,87
hemang.varty377@example.com,53,56,62
aarini.hayre378@example.com,73,75,99
eiravati.doctor379@example.com,60,69,97
charita.bhagat380@example.com,57,42,43
vrinda.sabharwal381@example.com,58,77,62
libni.rai382@example.com,86,77,40
meera.bhatnagar383@example.com,94,100,89
chakradhar.sheth384@example.com,77,100,55
hemani.bhatnagar385@example.com,84,64,65
nimrat.mutti386@example.com,41,65,40
osha.lalla387@example.com,88,87,52
amara.keer388@example.com,48,69,72
falak.hegde389@example.com,45,60,64
chakradev.sarma390@example.com,89,69,68
isaac.biswas391@example.com,100,63,47
nilima.luthra392@example.com,71,49,92
nidhi.dora393@example.com,72,53,88
qasim.shankar394@example.com,61,53,81
yamini.soman395@example.com,85,100,54
utkarsh.goel396@example.com,100,83,55
ekaraj.deo397@example.com,51,66,87
vyanjana.goyal398@example.com,47,46,75
kritika.dubey399@example.com,92,61,62
kashish.lata400@example.com,59,55,85
ayushman.majumdar401@example.com,96,59,48
jairaj.bhatti402@example.com,74,90,96
qushi.chhabra403@example.com,42,90,89
avi.sahni404@example.com,91,72,60
yuvraj.sabharwal405@example.com,48,67,41
om.anne406@example.com,90,49,77
warjas.ranganathan407@example.com,51,47,65
maya.contractor408@example.com,98,53,58
eesha.ben409@example.com,40,70,77
varsha.golla410@example.com,97,90,77
yashoda.kota411@example.com,100,43,99
advay.tank412@example.com,68,46,97
meghana.batra413@example.com,63,64,100
mahika.krish414@example.com,74,81,62
onveer.varty415@example.com,78,82,43
ganga.patla416@example.com,42,58,98
harrison.din417@example.com,62,99,77
yahvi.dyal418@example.com,47,70,99
manbir.chana419@example.com,50,70,67
vivaan.mitter420@example.com,48,69,49
max.more421@example.com,85,91,71
yahvi.raju422@example.com,97,92,48
keya.dave423@example.com,40,92,80
nidra.prakash424@example.com,63,57,78
meera.natarajan425@example.com,46,78,49
chanakya.sodhi426@example.com,50,81,58
falak.upadhyay427@example.com,57,92,74
arya.saini428@example.com,49,65,83
dalbir.viswanathan429@example.com,87,51,66
rudra.pandya430@example.com,70,43,41
vedhika.pant431@example.com,47,58,73
nidhi.krishna432@example.com,93,56,61
darika.malhotra433@example.com,78,48,87
kiaan.venkatesh434@example.com,95,88,45
avi.palan435@example.com,68,70,40
vaishnavi.deshpande436@example.com,40,48,45
jagdish.shan437@example.com,66,70,92
dakshesh.dhingra438@example.com,41,63,81
aadhya.thakur439@example.com,40,93,40
anvi.shukla440@example.com,75,40,93
hema.prashad441@example.com,56,86,46
chasmum.lanka442@example.com,51,51,91
samarth.sethi443@example.com,92,67,59
lakshmi.banik444@example.com,81,88,90
harini.prabhakar445@example.com,81,69,71
yamini.manne446@example.com,49,49,78
ansh.behl447@example.com,96,99,41
liam.gupta448@example.com,40,95,51
leela.mohan449@example.com,59,81,73
pahal.andra450@example.com,74,60,61
darsh.aggarwal451@example.com,59,73,57
siya.gaba452@example.com,91,54,48
shivansh.sathe453@example.com,57,46,41
daksha.sane454@example.com,85,77,82
upasna.minhas455@example.com,79,55,94
sanya.mutti456@example.com,72,81,92
rudra.deol457@example.com,58,61,54
osha.soni458@example.com,65,82,93
manthan.dasgupta459@example.com,86,70,94
dalaja.ahuja460@example.com,48,77,63
inaya.vora461@example.com,50,73,65
jagdish.radhakrishnan462@example.com,94,44,68
anya.kashyap463@example.com,83,65,72
anvi.bajaj464@example.com,76,63,72
vedika.trivedi465@example.com,66,84,42
harrison.mandal466@example.com,45,100,96
matthew.raman467@example.com,46,60,43
urvashi.kibe468@example.com,44,55,85
jhalak.sankaran469@example.com,63,47,67
gagan.babu470@example.com,75,97,83
qadim.banerjee471@example.com,97,92,96
jackson.narayanan472@example.com,77,95,55
aradhana.dhar473@example.com,53,51,100
qadim.bath474@example.com,42,61,64
chandani.hayer475@example.com,55,76,83
aadhya.gopal476@example.com,41,68,44
dipta.mander477@example.com,54,63,93
ekapad.radhakrishnan478@example.com,96,67,88
arunima.sankar479@example.com,46,83,65
yutika.sandhu480@example.com,50,40,49
ekapad.ramachandran481@example.com,84,47,81
abha.talwar482@example.com,98,74,87
warda.mohanty483@example.com,66,65,43
ikshita.bir484@example.com,56,56,65
fitan.palla485@example.com,74,64,70
mugdha.ramachandran486@example.com,61,72,97
arya.sunder487@example.com,59,81,51
abha.grover488@example.com,93,58,60
noah.agate489@example.com,94,57,48
kamya.gour490@example.com,43,55,77
vivaan.shanker491@example.com,100,77,92
vritti.de492@example.com,59,56,62
mohini.bal493@example.com,55,55,45
akshay.pandey494@example.com,85,69,71
amrita.anne495@example.com,66,55,94
aradhana.more496@example.com,85,64,88
sanya.ram497@example.com,69,49,90
hemang.goyal498@example.com,75,59,87
fariq.nayak499@example.com,100,75,60
