student_email,attendance
jagat.vyas200@example.com,75.82
vedhika.singh201@example.com,68.35
dakshesh.deshmukh202@example.com,85.35
gaurika.borde203@example.com,95.32
balhaar.kohli204@example.com,84.54
jyoti.kapadia205@example.com,88.4
ronith.sen206@example.com,75.35
wahab.shroff207@example.com,90.85
kala.shenoy208@example.com,89.96
jalsa.chatterjee209@example.com,96.64
jasmit.roy210@example.com,92.39
aahana.misra211@example.com,97.47
priya.vala212@example.com,84.18
suhani.goswami213@example.com,68.88
faras.pal214@example.com,69.69
jonathan.balay215@example.com,95.93
chatura.nagar216@example.com,75.59
zarna.contractor217@example.com,84.69
damyanti.keer218@example.com,81.3
irya.walia219@example.com,89.94
patrick.subramaniam220@example.com,99.13
vrinda.vaidya221@example.com,72.69
elijah.handa222@example.com,68.16
benjamin.pandit223@example.com,85.26
balvan.kannan224@example.com,83.6
kevin.bhandari225@example.com,86.83
dhriti.nayar226@example.com,76.51
arunima.bajwa227@example.com,70.61
omaja.tella228@example.com,75.15
charita.gara229@example.com,67.14
upma.kumar230@example.com,66.95
ojasvi.aggarwal231@example.com,68.95
dalbir.ram232@example.com,68.35
raagini.mitra233@example.com,93.81
inaya.bumb234@example.com,94.77
pratyush.batra235@example.com,72.69
chasmum.sengupta236@example.com,91.93
janani.chatterjee237@example.com,67.88
pavani.lata238@example.com,65.42
omkaar.bawa239@example.com,80.75
deepa.palla240@example.com,68.06
tamanna.walia241@example.com,88.59
rachita.mangal242@example.com,99.78
urvi.bath243@example.com,68.68
charvi.mand244@example.com,90.93
omya.chaudhry245@example.com,78.63
caleb.loyal246@example.com,92.46
samesh.kala247@example.com,70.4
krish.bains248@example.com,96.09
ijaya.gala249@example.com,92.59
rishi.radhakrishnan250@example.com,86.45
pooja.natt251@example.com,83.53
vanya.ranganathan252@example.com,95.91
zinal.hayer253@example.com,84.39
om.salvi254@example.com,86.11
luke.chakrabarti255@example.com,78.0
chatresh.nigam256@example.com,88.27
vincent.chada257@example.com,78.82
ekiya.singhal258@example.com,92.9
timothy.sibal259@example.com,92.46
kashish.ghosh260@example.com,77.07
alexander.rastogi261@example.com,70.47
adweta.choudhry262@example.com,85.62
devika.chana263@example.com,65.27
harsh.shanker264@example.com,86.5
alka.date265@example.com,87.21
samesh.natt266@example.com,93.66
yashoda.nagi267@example.com,73.53
michael.keer268@example.com,79.09
jeremiah.batta269@example.com,80.93
yashoda.dugar270@example.com,77.2
william.rastogi271@example.com,94.42
yamini.grover272@example.com,77.79
barkha.kohli273@example.com,83.14
ekbal.pradhan274@example.com,69.94
upma.borah275@example.com,80.0
banjeet.kara276@example.com,70.92
deepa.dhillon277@example.com,84.32
sai.mall278@example.com,74.46
shivani.lata279@example.com,98.01
madhav.master280@example.com,99.27
jagvi.gole281@example.com,74.25
vihaan.subramanian282@example.com,95.27
vincent.comar283@example.com,92.07
suhani.vyas284@example.com,86.67
vritti.raja285@example.com,75.89
ekta.badami286@example.com,67.1
samar.sha287@example.com,81.18
varsha.ben288@example.com,89.42
jack.barman289@example.com,89.48
bimala.om290@example.com,80.61
yashawini.ben291@example.com,93.44
saumya.dar292@example.com,91.15
harsh.keer293@example.com,80.86
krishna.sur294@example.com,74.6
mohini.ratti295@example.com,68.11
hema.karan296@example.com,81.56
rachita.saha297@example.com,85.08
peter.raja298@example.com,99.51
devansh.kade299@example.com,98.75
rajeshri.gopal300@example.com,90.69
nikita.seth301@example.com,88.75
reyansh.narang302@example.com,78.05
advay.peri303@example.com,97.11
gauri.luthra304@example.com,91.61
pratyush.d’alia305@example.com,88.66
pooja.pillay306@example.com,65.62
kamya.sawhney307@example.com,93.18
indali.talwar308@example.com,86.8
oeshi.modi309@example.com,90.63
gautam.rastogi310@example.com,86.9
abhimanyu.subramaniam311@example.com,80.33
vamakshi.mand312@example.com,85.34
vamakshi.toor313@example.com,92.67
praneel.deshpande314@example.com,76.11
raksha.mahal315@example.com,78.73
mekhala.bala316@example.com,74.25
ekalinga.bir317@example.com,91.85
jacob.madan318@example.com,92.35
isha.suri319@example.com,98.42
jagat.muni320@example.com,96.64
ranveer.bakshi321@example.com,75.37
ridhi.bora322@example.com,79.45
jagdish.lalla323@example.com,74.6
hredhaan.dhar324@example.com,83.57
gaurika.aggarwal325@example.com,90.33
jagvi.nigam326@example.com,93.25
sneha.kunda327@example.com,94.85
zehaan.dutta328@example.com,68.4
girish.murty329@example.com,75.76
rajata.pau330@example.com,72.96
saksham.deol331@example.com,75.0
logan.keer332@example.com,72.34
harshil.chadha333@example.com,96.63
mugdha.tank334@example.com,78.48
vasana.bail335@example.com,82.76
chaitanya.pandey336@example.com,86.75
sneha.chada337@example.com,90.51
suhani.pai338@example.com,89.54
bhanumati.din339@example.com,98.32
joshua.bhat340@example.com,72.85
zayyan.narula341@example.com,95.5
chameli.warrior342@example.com,69.32
aarav.bose343@example.com,66.11
bhavya.kuruvilla344@example.com,67.12
ishani.sahota345@example.com,88.47
bhanumati.halder346@example.com,77.91
gauri.gupta347@example.com,96.83
lucky.nigam348@example.com,82.61
tanmayi.sandhu349@example.com,97.72
dayamai.arya350@example.com,80.19
keya.jha351@example.com,76.79
vincent.sundaram352@example.com,78.98
alexander.gola353@example.com,79.0
shaurya.verma354@example.com,84.53
vansha.sami355@example.com,93.88
siddharth.nair356@example.com,99.09
bhavna.mohanty357@example.com,68.72
bhavini.acharya358@example.com,84.97
harinakshi.das359@example.com,73.02
anvi.raju360@example.com,70.25
garima.mand361@example.com,98.73
sachi.kalla362@example.com,68.46
tanay.bhargava363@example.com,92.0
aadi.kunda364@example.com,66.79
jonathan.nadig365@example.com,68.07
jonathan.manne366@example.com,68.82
anmol.date367@example.com,99.37
yug.deo368@example.com,78.05
adya.anand369@example.com,82.02
vritti.krishnan370@example.com,84.2
gaurav.bava371@example.com,96.1
rajata.chakraborty372@example.com,94.02
nirja.bakshi373@example.com,85.89
orinder.chana374@example.com,78.24
anirudh.kanda375@example.com,89.75
ishita.prasad376@example.com,94.14
hemang.varty377@example.com,78.74
aarini.hayre378@example.com,68.39
eiravati.doctor379@example.com,87.42
charita.bhagat380@example.com,86.32
vrinda.sabharwal381@example.com,79.12
libni.rai382@example.com,97.56
meera.bhatnagar383@example.com,70.08
chakradhar.sheth384@example.com,73.06
hemani.bhatnagar385@example.com,94.0
nimrat.mutti386@example.com,88.92
osha.lalla387@example.com,95.59
amara.keer388@example.com,81.56
falak.hegde389@example.com,97.15
chakradev.sarma390@example.com,78.25
isaac.biswas391@example.com,97.4
nilima.luthra392@example.com,69.05
nidhi.dora393@example.com,85.85
qasim.shankar394@example.com,66.66
yamini.soman395@example.com,98.17
utkarsh.goel396@example.com,90.82
ekaraj.deo397@example.com,78.99
vyanjana.goyal398@example.com,75.12
kritika.dubey399@example.com,65.81
kashish.lata400@example.com,82.5
ayushman.majumdar401@example.com,86.33
jairaj.bhatti402@example.com,70.34
qushi.chhabra403@example.com,88.35
avi.sahni404@example.com,96.49
yuvraj.sabharwal405@example.com,79.85
om.anne406@example.com,79.4
warjas.ranganathan407@example.com,65.8
maya.contractor408@example.com,84.76
eesha.ben409@example.com,73.46
varsha.golla410@example.com,90.33
yashoda.kota411@example.com,83.72
advay.tank412@example.com,75.83
meghana.batra413@example.com,84.35
mahika.krish414@example.com,96.81
onveer.varty415@example.com,70.69
ganga.patla416@example.com,80.16
harrison.din417@example.com,76.19
yahvi.dyal418@example.com,97.78
manbir.chana419@example.com,93.07
vivaan.mitter420@example.com,71.06
max.more421@example.com,66.61
yahvi.raju422@example.com,99.89
keya.dave423@example.com,70.49
nidra.prakash424@example.com,97.39
meera.natarajan425@example.com,80.73
chanakya.sodhi426@example.com,68.65
falak.upadhyay427@example.com,67.34
arya.saini428@example.com,93.99
dalbir.viswanathan429@example.com,81.03
rudra.pandya430@example.com,66.03
vedhika.pant431@example.com,85.06
nidhi.krishna432@example.com,76.94
darika.malhotra433@example.com,88.09
kiaan.venkatesh434@example.com,98.93
avi.palan435@example.com,91.96
vaishnavi.deshpande436@example.com,81.52
jagdish.shan437@example.com,92.65
dakshesh.dhingra438@example.com,93.32
aadhya.thakur439@example.com,87.03
anvi.shukla440@example.com,65.05
hema.prashad441@example.com,89.2
chasmum.lanka442@example.com,83.36
samarth.sethi443@example.com,66.04
lakshmi.banik444@example.com,87.54
harini.prabhakar445@example.com,89.12
yamini.manne446@example.com,84.71
ansh.behl447@example.com,81.56
liam.gupta448@example.com,89.28
leela.mohan449@example.com,79.33
pahal.andra450@example.com,70.15
darsh.aggarwal451@example.com,69.85
siya.gaba452@example.com,90.01
shivansh.sathe453@example.com,87.9
daksha.sane454@example.com,68.16
upasna.minhas455@example.com,75.51
sanya.mutti456@example.com,80.78
rudra.deol457@example.com,76.18
osha.soni458@example.com,96.15
manthan.dasgupta459@example.com,95.96
dalaja.ahuja460@example.com,84.57
inaya.vora461@example.com,98.56
jagdish.radhakrishnan462@example.com,92.94
anya.kashyap463@example.com,71.05
anvi.bajaj464@example.com,79.43
vedika.trivedi465@example.com,82.47
harrison.mandal466@example.com,67.7
matthew.raman467@example.com,86.57
urvashi.kibe468@example.com,90.71
jhalak.sankaran469@example.com,88.14
gagan.babu470@example.com,90.95
qadim.banerjee471@example.com,84.89
jackson.narayanan472@example.com,94.7
aradhana.dhar473@example.com,74.97
qadim.bath474@example.com,72.69
chandani.hayer475@example.com,89.19
aadhya.gopal476@example.com,80.32
dipta.mander477@example.com,70.8
ekapad.radhakrishnan478@example.com,95.14
arunima.sankar479@example.com,82.08
yutika.sandhu480@example.com,97.85
ekapad.ramachandran481@example.com,95.99
abha.talwar482@example.com,78.35
warda.mohanty483@example.com,71.37
ikshita.bir484@example.com,76.13
fitan.palla485@example.com,66.06
mugdha.ramachandran486@example.com,89.09
arya.sunder487@example.com,77.67
abha.grover488@example.com,76.55
noah.agate489@example.com,77.19
kamya.gour490@example.com,94.26
vivaan.shanker491@example.com,79.12
vritti.de492@example.com,73.93
mohini.bal493@example.com,68.29
akshay.pandey494@example.com,70.16
amrita.anne495@example.com,65.47
aradhana.more496@example.com,85.88
sanya.ram497@example.com,83.36
hemang.goyal498@example.com,76.63
fariq.nayak499@example.com,92.01
